"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Lysias",0,0,1,0,0,8,0,0,0,0,1,1,3
"OdHomer",0,0,0,0,0,0,9,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,12,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,19,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,20,0,0,1
"Thucydides",0,0,1,0,0,0,0,0,0,0,12,1,2
"Xenophon",0,0,2,0,0,1,0,0,0,0,4,9,7
"-SUM-",1,0,4,0,2,2,0,0,1,0,5,2,17
"Aeschylus",9,0,0,0,1,0,0,0,0,2,0,0,3
"DiodSic",0,12,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,17,0,0,1,0,0,0,0,1,0,2
"Hesiod",0,0,0,8,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,22,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,1,0,11,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,13,0,0,0,1,1
"Polybius",0,1,0,0,0,0,0,0,9,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,17,0,0,0
"Thucydides",0,0,2,0,0,1,0,0,0,0,13,0,3
"Xenophon",0,0,0,0,0,2,0,1,0,0,1,7,4
"-SUM-",0,1,3,0,5,4,0,1,0,2,3,1,20
"Aeschylus",17,0,0,0,1,0,0,0,0,0,0,0,1
"DiodSic",0,10,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,18,0,0,0,0,1,0,0,1,0,2
"Hesiod",0,0,0,10,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,12,0,2,0,0,0,0,0,2
"Lysias",0,0,1,0,0,7,0,0,0,0,0,0,1
"OdHomer",0,0,0,0,0,0,19,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,14,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,14,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,21,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,11,0,0
"Xenophon",0,0,0,0,0,1,0,1,0,0,3,7,5
"-SUM-",0,0,1,0,2,1,2,2,0,0,4,0,12
"Aeschylus",17,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,15,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,15,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,9,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,13,0,0,0,0,0,0,0,0
"Lysias",0,0,5,0,0,14,0,0,0,0,0,0,5
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,16,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,11,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,11,0,0,1
"Thucydides",0,0,0,0,0,0,0,0,0,0,12,0,0
"Xenophon",0,0,1,0,0,2,0,0,0,0,0,10,3
"-SUM-",1,0,6,0,3,3,0,0,0,1,0,0,14
"Aeschylus",12,0,0,0,0,0,0,0,0,2,0,0,2
"DiodSic",0,15,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,12,0,0,1,0,0,0,0,0,0,1
"Hesiod",1,0,0,13,3,0,0,0,0,0,0,0,4
"IlHomer",0,0,0,0,12,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,13,0,0,0,0,1,2,4
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,12,0,0,0,1,1
"Polybius",0,0,0,0,0,0,0,0,17,0,0,1,1
"Sophocles",0,0,0,0,0,0,0,0,0,9,0,0,0
"Thucydides",0,0,1,0,0,1,0,0,0,0,8,1,3
"Xenophon",0,0,1,0,0,0,0,0,0,0,5,9,6
"-SUM-",1,0,3,0,3,2,0,0,1,2,6,5,23
"Aeschylus",15,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,17,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,16,0,0,1,0,0,0,0,0,1,2
"Hesiod",0,0,0,5,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,10,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,12,0,0,0,0,0,1,2
"OdHomer",0,0,0,0,1,0,8,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,12,0,0,0,2,2
"Polybius",0,1,0,0,0,0,0,0,15,0,0,0,1
"Sophocles",2,0,0,0,0,0,0,0,0,25,0,0,2
"Thucydides",0,0,0,0,0,0,0,0,0,0,12,1,1
"Xenophon",0,0,0,0,0,1,0,0,0,0,2,9,3
"-SUM-",2,1,1,0,3,2,0,0,0,0,2,5,16
"Aeschylus",12,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,13,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,7,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,23,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,9,0,0,0,0,1,1,2
"OdHomer",0,0,0,0,0,0,13,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,14,0,0,0,2,2
"Polybius",0,2,0,0,0,0,0,0,16,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,13,0,0,0
"Thucydides",0,0,3,0,0,0,0,1,0,0,13,0,4
"Xenophon",0,1,1,0,0,0,0,1,0,0,2,9,5
"-SUM-",0,3,4,0,2,0,0,2,1,0,3,3,18
"Aeschylus",13,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,13,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,9,0,0,0,0,0,0,0,1,2,3
"Hesiod",0,0,0,11,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,15,0,1,0,0,0,0,0,1
"Lysias",0,0,2,0,0,10,0,0,0,0,0,2,4
"OdHomer",0,0,0,0,1,0,16,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,12,0,0,0,2,2
"Polybius",0,0,0,0,0,0,0,0,20,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,13,0,0,1
