"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",18,0,0,0,1,0,0,0,0,3,0,0,4
"Diodorus",0,8,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,1,12,0,0,1,0,1,0,0,0,1,4
"Hesiod",0,0,0,12,6,0,0,0,0,0,0,0,6
"IlHomer",0,0,0,0,23,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,13,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,0,0,18,0,0,0,0,0,0
"Plutarch",0,1,0,0,0,0,0,14,1,0,0,0,2
"Polybius",0,0,2,0,0,0,0,0,13,0,1,0,3
"Sophocles",1,0,0,0,0,0,0,0,0,20,0,0,1
"Thucydides",0,1,4,0,0,2,0,3,0,0,11,0,10
"Xenophon",0,1,0,0,0,0,0,2,1,0,1,7,5
"-SUM-",1,4,6,0,7,3,0,6,3,3,2,2,37
"Aeschylus",12,0,0,0,0,0,0,0,0,3,0,0,3
"Diodorus",0,12,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,0,15,0,0,0,0,3,0,0,1,0,4
"Hesiod",0,0,0,9,4,0,0,0,0,0,0,0,4
"IlHomer",0,0,0,0,17,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,18,0,0,0,0,2,0,5
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,1,0,0,0,0,0,18,1,0,1,0,3
"Polybius",0,0,0,0,0,0,0,0,17,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,12,0,0,1
"Thucydides",0,0,3,0,0,3,0,1,1,0,8,0,8
"Xenophon",0,0,1,0,0,2,0,0,2,0,5,10,10
"-SUM-",1,1,7,0,4,5,0,4,7,3,9,0,41
"Aeschylus",18,0,0,0,0,0,0,0,0,3,0,0,3
"Diodorus",0,11,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,16,0,0,1,0,0,0,0,0,0,1
"Hesiod",1,0,0,6,8,0,1,0,0,0,0,0,10
"IlHomer",0,0,0,0,24,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,13,0,0,0,0,0,1,2
"OdHomer",1,0,0,0,0,0,16,0,0,0,0,0,1
"Plutarch",0,0,1,0,0,0,0,12,2,0,0,0,3
"Polybius",0,0,0,0,0,0,0,0,14,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,21,0,0,1
"Thucydides",0,0,0,0,0,1,0,1,0,0,14,0,2
"Xenophon",0,1,4,0,0,2,0,0,1,0,2,8,10
"-SUM-",3,1,6,0,8,4,1,1,3,3,2,1,33
"Aeschylus",21,0,0,0,1,0,1,0,0,0,0,0,2
"Diodorus",0,16,0,0,0,0,0,0,1,0,1,0,2
"Herodotus",0,0,13,0,0,0,0,0,1,0,1,0,2
"Hesiod",0,0,0,10,2,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,1,19,0,1,0,0,0,0,0,2
"Lysias",0,0,2,0,0,17,0,0,0,0,1,1,4
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,13,2,0,0,0,3
"Polybius",0,0,0,0,0,0,0,1,17,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,15,0,0,0
"Thucydides",0,0,5,0,0,0,0,1,0,0,14,1,7
"Xenophon",0,0,1,0,0,2,0,0,0,0,1,4,4
"-SUM-",0,0,9,1,3,2,3,2,4,0,4,2,30
"Aeschylus",17,0,0,1,0,0,0,0,0,2,0,0,3
"Diodorus",0,17,0,0,0,0,0,1,0,0,1,0,2
"Herodotus",0,1,14,0,0,1,0,0,0,0,1,0,3
"Hesiod",0,0,0,11,9,0,0,0,0,0,0,0,9
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,11,0,0,0,0,2,0,5
"OdHomer",0,0,0,1,0,0,18,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,10,1,0,2,0,3
