"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Lysias",0,0,3,0,0,14,0,0,0,0,2,2,7
"OdHomer",0,0,0,0,1,0,19,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,15,0,0,1,0,1
"Polybius",0,0,0,0,0,0,0,0,12,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,11,0,0,1
"Thucydides",0,0,0,0,0,1,0,0,0,0,9,2,3
"Xenophon",0,0,0,0,0,1,0,0,0,0,1,10,2
"-SUM-",1,0,3,0,5,2,1,0,0,0,5,5,22
"Aeschylus",18,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,14,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,14,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,11,0,0,0,0,0,0,0,0,0
"IlHomer",0,0,0,0,19,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,12,0,0,0,0,0,0,1
"OdHomer",0,0,0,1,2,0,9,0,0,0,0,0,3
"Plutarch",0,1,0,0,0,0,0,15,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,18,0,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,5,1,2
"Xenophon",0,0,0,0,0,3,0,0,0,0,1,9,4
"-SUM-",0,1,2,1,2,3,0,0,1,0,2,1,13
"Aeschylus",15,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,7,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,14,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,7,5,0,1,0,0,0,0,0,6
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,9,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,1,0,15,0,0,0,0,0,1
"Plutarch",0,1,0,0,0,0,0,16,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,14,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,16,0,0,0
"Thucydides",0,1,0,0,0,0,0,0,0,0,16,0,1
"Xenophon",0,0,1,0,0,1,0,0,0,0,2,12,4
"-SUM-",0,2,2,0,6,1,1,0,0,1,3,0,16
"Aeschylus",11,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,15,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,13,0,0,2,0,0,0,0,0,0,2
"Hesiod",1,0,0,8,3,0,2,0,0,0,0,0,6
"IlHomer",0,0,0,0,24,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,12,0,0,0,0,0,2,4
"OdHomer",0,0,0,0,0,0,11,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,13,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,1,14,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,12,0,0,0
"Thucydides",0,0,1,0,0,0,0,3,0,0,7,0,4
"Xenophon",0,0,1,0,0,0,0,1,0,0,3,8,5
"-SUM-",1,0,4,0,3,2,2,5,1,1,3,2,24
"Aeschylus",10,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,10,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,13,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,7,5,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,0,19,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,11,0,0,0,0,1,0,4
"OdHomer",0,0,0,0,0,0,13,0,0,0,0,0,0
