author_rate,chunk_rate,chunk_ref,
0.2,0.000692042,Polybius_Book1-72,
0.2,0.000692042,Polybius_Book1-73,
0.2,0.000692042,Polybius_Book1-74,
0.2,0.000692042,Polybius_Book1-75,
0.2,0.000692042,Polybius_Book1-76,
0.2,0.000692042,Polybius_Book1-77,
0.2,0.000692042,Polybius_Book1-78,
0.2,0.000692042,Polybius_Book1-79,
0.2,0.000692042,Polybius_Book1-8,
0.2,0.000692042,Polybius_Book1-80,
0.2,0.000692042,Polybius_Book1-81,
0.2,0.000692042,Polybius_Book1-82,
0.2,0.000692042,Polybius_Book1-83,
0.2,0.000692042,Polybius_Book1-84,
0.2,0.000692042,Polybius_Book1-85,
0.2,0.000692042,Polybius_Book1-86,
0.2,0.000692042,Polybius_Book1-87,
0.2,0.000692042,Polybius_Book1-88,
0.2,0.000692042,Polybius_Book1-89,
0.2,0.000692042,Polybius_Book1-9,
0.2,0.000692042,Polybius_Book1-90,
0.2,0.000692042,Polybius_Book1-91,
0.2,0.000692042,Polybius_Book1-92,
0.2,0.000692042,Polybius_Book1-93,
0.2,0.000692042,Polybius_Book1-94,
0.2,0.000692042,Polybius_Book1-95,
0.2,0.000692042,Polybius_Book1-96,
0.2,0.000692042,Polybius_Book1-97,
0.2,0.000692042,Polybius_Book1-98,
0.2,0.000692042,Polybius_Book1-99,
0.2,0.000692042,Polybius_Book10-1,
0.2,0.000692042,Polybius_Book10-10,
0.2,0.000692042,Polybius_Book10-11,
0.2,0.000692042,Polybius_Book10-12,
0.2,0.000692042,Polybius_Book10-13,
0.2,0.000692042,Polybius_Book10-14,
0.2,0.000692042,Polybius_Book10-15,
0.2,0.000692042,Polybius_Book10-16,
0.2,0.000692042,Polybius_Book10-17,
0.2,0.000692042,Polybius_Book10-18,
0.2,0.000692042,Polybius_Book10-19,
0.2,0.000692042,Polybius_Book10-2,
0.2,0.000692042,Polybius_Book10-20,
0.2,0.000692042,Polybius_Book10-21,
0.2,0.000692042,Polybius_Book10-22,
0.2,0.000692042,Polybius_Book10-23,
0.2,0.000692042,Polybius_Book10-24,
0.2,0.000692042,Polybius_Book10-25,
0.2,0.000692042,Polybius_Book10-26,
0.2,0.000692042,Polybius_Book10-27,
0.2,0.000692042,Polybius_Book10-28,
0.2,0.000692042,Polybius_Book10-29,
0.2,0.000692042,Polybius_Book10-3,
0.2,0.000692042,Polybius_Book10-30,
0.2,0.000692042,Polybius_Book10-31,
0.2,0.000692042,Polybius_Book10-32,
0.2,0.000692042,Polybius_Book10-33,
0.2,0.000692042,Polybius_Book10-34,
0.2,0.000692042,Polybius_Book10-35,
0.2,0.000692042,Polybius_Book10-36,
0.2,0.000692042,Polybius_Book10-37,
0.2,0.000692042,Polybius_Book10-38,
0.2,0.000692042,Polybius_Book10-39,
0.2,0.000692042,Polybius_Book10-4,
0.2,0.000692042,Polybius_Book10-40,
0.2,0.000692042,Polybius_Book10-41,
0.2,0.000692042,Polybius_Book10-42,
0.2,0.000692042,Polybius_Book10-43,
0.2,0.000692042,Polybius_Book10-44,
0.2,0.000692042,Polybius_Book10-45,
0.2,0.000692042,Polybius_Book10-46,
0.2,0.000692042,Polybius_Book10-47,
0.2,0.000692042,Polybius_Book10-48,
0.2,0.000692042,Polybius_Book10-49,
0.2,0.000692042,Polybius_Book10-5,
