"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucycides","Xenophon","-SUM-"
"Xenophon",0,6,13,0,0,0,10,4,9,1,14,22,57
"-SUM-",20,32,58,11,48,24,24,27,130,31,47,29,481
"Aeschylus",76,0,1,0,1,2,0,0,0,12,0,0,16
"Diodorus",0,37,10,0,0,0,0,6,36,0,2,3,57
"Herodotus",1,3,61,0,0,1,6,5,8,1,6,3,34
"Hesiod",7,0,0,47,23,9,0,0,0,6,0,0,45
"HomerIL",0,0,0,6,65,18,0,0,0,0,0,0,24
"HomerOD",1,0,0,2,25,76,0,0,0,1,0,0,29
"Lysias",0,0,12,0,0,1,46,4,15,2,8,6,48
"Plutarch",0,8,14,0,0,0,1,27,28,0,2,2,55
"Polybius",0,7,1,0,0,0,2,4,89,1,4,3,22
"Sophocles",21,0,0,2,2,0,1,0,1,67,1,0,28
"Thucycides",0,5,14,0,0,0,10,11,21,0,32,6,67
"Xenophon",0,3,15,0,0,0,17,9,15,0,11,31,70
"-SUM-",30,26,67,10,51,31,37,39,124,23,34,23,495
"Aeschylus",74,0,0,1,4,1,0,0,0,17,0,0,23
"Diodorus",0,32,6,0,0,0,1,2,47,0,0,1,57
"Herodotus",0,4,57,0,0,1,7,5,8,0,7,10,42
"Hesiod",9,0,0,52,12,15,0,1,0,6,0,0,43
"HomerIL",1,0,0,7,82,11,0,0,0,0,0,0,19
"HomerOD",0,0,0,2,27,76,0,0,0,1,0,0,30
"Lysias",1,1,13,0,0,0,39,3,9,2,7,8,44
"Plutarch",0,12,6,0,0,0,2,32,32,1,5,2,60
"Polybius",0,13,4,0,0,0,3,4,78,0,2,2,28
"Sophocles",15,1,1,3,2,1,3,0,1,67,0,0,27
"Thucycides",0,4,16,0,0,0,9,7,18,0,36,7,61
"Xenophon",0,5,14,0,0,0,16,9,9,0,11,26,64
"-SUM-",26,40,60,13,45,29,41,31,124,27,32,30,498
"Aeschylus",74,0,0,3,5,1,0,1,0,21,0,0,31
"Diodorus",0,36,3,0,0,1,1,8,34,0,3,0,50
"Herodotus",0,5,53,0,0,0,6,6,10,0,10,9,46
"Hesiod",7,0,0,38,15,8,0,0,0,4,0,0,34
"HomerIL",1,0,0,2,76,19,0,0,0,2,0,0,24
"HomerOD",0,0,0,1,25,64,0,0,0,2,0,0,28
"Lysias",0,1,9,0,0,0,50,5,10,2,6,13,46
"Plutarch",0,4,8,0,0,0,2,36,37,0,6,3,60
"Polybius",0,7,0,0,0,0,0,2,80,0,2,0,11
"Sophocles",25,0,0,3,2,0,0,0,1,71,0,0,31
"Thucycides",0,6,19,0,0,0,10,11,22,0,45,10,78
"Xenophon",0,6,15,0,0,0,13,3,11,0,4,35,52
"-SUM-",33,29,54,9,47,29,32,36,125,31,31,35,491
