"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucycides","Xenophon","-SUM-"
"Sophocles",21,0,1,1,2,0,1,0,1,73,0,0,27
"Thucycides",0,4,18,0,0,2,9,6,18,0,27,10,67
"Xenophon",1,8,15,0,0,0,18,4,9,0,14,32,69
"-SUM-",31,31,55,10,45,35,40,21,115,27,40,31,481
"Aeschylus",76,0,0,5,2,0,0,0,0,21,0,0,28
"Diodorus",0,44,8,0,0,0,1,3,44,0,0,1,57
"Herodotus",1,6,51,0,0,0,5,2,19,2,6,13,54
"Hesiod",5,0,0,61,7,15,0,1,0,3,0,0,31
"HomerIL",5,0,0,3,90,10,0,0,0,0,0,0,18
"HomerOD",0,0,0,2,24,67,0,0,0,0,0,0,26
"Lysias",0,1,11,0,0,0,41,2,14,1,4,9,42
"Plutarch",0,5,9,0,0,0,2,27,23,0,6,7,52
"Polybius",0,10,5,0,0,0,5,4,72,1,5,0,30
"Sophocles",23,0,0,2,6,0,0,0,1,58,0,0,32
"Thucycides",0,8,18,0,0,1,12,4,19,0,27,9,71
"Xenophon",0,4,18,0,0,0,12,6,16,1,8,29,65
"-SUM-",34,34,69,12,39,26,37,22,136,29,29,39,506
"Aeschylus",71,0,0,3,0,3,0,0,0,17,0,0,23
"Diodorus",0,42,5,0,0,1,1,8,38,0,4,2,59
"Herodotus",1,2,71,0,0,0,7,5,7,0,6,10,38
"Hesiod",7,0,0,44,16,18,0,1,0,6,0,0,48
"HomerIL",0,0,0,2,96,14,0,0,0,0,0,0,16
"HomerOD",1,0,0,2,26,55,0,0,0,1,0,0,30
"Lysias",0,1,15,0,0,0,49,1,10,0,7,8,42
"Plutarch",0,7,14,0,0,0,2,28,28,1,9,5,66
"Polybius",0,8,5,0,0,0,4,6,80,0,4,1,28
"Sophocles",14,0,0,0,2,4,0,0,0,63,0,0,20
"Thucycides",0,12,15,0,2,0,6,4,20,1,27,9,69
"Xenophon",0,8,15,0,0,0,8,6,8,0,14,25,59
"-SUM-",23,38,69,7,46,40,28,31,111,26,44,35,498
"Aeschylus",79,0,0,3,3,4,0,0,0,13,0,0,23
"Diodorus",0,39,1,0,0,0,2,1,35,0,0,1,40
"Herodotus",2,10,56,0,0,0,6,5,9,3,9,10,54
"Hesiod",6,0,0,50,13,14,0,1,0,4,0,0,38
"HomerIL",1,0,0,4,84,11,0,0,0,1,0,0,17
"HomerOD",1,0,0,3,27,62,0,0,0,2,0,0,33
"Lysias",0,3,11,0,0,1,53,3,8,2,10,15,53
"Plutarch",0,2,13,0,1,0,2,30,32,0,5,1,56
"Polybius",0,15,2,0,1,0,5,4,81,0,4,1,32
"Sophocles",18,0,0,1,2,2,0,0,0,60,0,0,23
"Thucycides",0,6,19,0,1,0,6,8,16,0,30,12,68
"Xenophon",0,4,12,0,0,0,21,4,11,0,8,28,60
"-SUM-",28,40,58,11,48,32,42,26,111,25,36,40,497
"Aeschylus",77,0,2,1,2,1,0,0,0,15,0,0,21
"Diodorus",0,36,8,0,0,0,1,3,37,0,3,2,54
"Herodotus",0,4,49,0,0,1,4,3,10,1,5,10,38
"Hesiod",8,0,0,62,12,18,0,0,0,7,0,0,45
"HomerIL",0,0,0,4,90,9,0,0,0,1,0,0,14
"HomerOD",1,0,1,3,30,70,0,0,0,0,0,0,35
"Lysias",0,1,11,0,0,0,37,2,12,0,10,13,49
"Plutarch",0,7,6,0,1,0,1,31,41,0,4,3,63
"Polybius",0,7,4,0,0,0,1,4,78,0,3,3,22
"Sophocles",9,0,2,1,3,3,2,0,0,75,0,1,21
"Thucycides",0,3,13,0,0,1,6,8,18,0,32,8,57
"Xenophon",0,2,16,0,0,0,18,4,8,0,10,35,58
"-SUM-",18,24,63,9,48,33,33,24,126,24,35,40,477
"Aeschylus",74,0,0,2,0,1,0,0,0,19,0,0,22
"Diodorus",0,39,8,0,0,0,1,3,46,0,4,4,66
"Herodotus",1,1,50,0,0,1,1,2,9,0,12,5,32
"Hesiod",4,0,0,41,20,13,0,0,0,3,0,0,40
"HomerIL",1,0,0,0,94,6,0,0,0,0,0,0,7
"HomerOD",1,0,0,3,26,92,0,0,0,0,0,0,30
"Lysias",0,0,18,0,0,1,32,2,17,1,16,15,70
"Plutarch",0,7,18,0,1,0,3,22,26,0,6,2,63
"Polybius",0,10,7,1,1,0,1,5,70,0,2,1,28
"Sophocles",14,0,0,2,6,3,1,0,0,63,0,0,26
"Thucycides",0,7,11,0,1,1,8,8,16,0,32,10,62
"Xenophon",1,7,18,0,1,0,12,5,12,1,9,28,66
