"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"HomerOD",1,0,1,4,39,93,0,0,0,1,0,0,46
"Lysias",1,4,23,0,1,0,61,5,19,2,8,12,75
"Plutarch",1,11,10,0,1,0,12,30,41,0,7,8,91
"Polybius",0,8,1,0,0,0,9,3,121,0,3,3,27
"Sophocles",30,0,1,2,2,5,3,2,1,101,0,2,48
"Thucydides",0,5,28,1,0,1,22,10,25,1,33,11,104
"Xenophon",0,9,27,0,1,0,22,11,26,1,11,37,108
"-SUM-",51,49,103,16,83,46,77,43,203,41,42,46,800
"Aeschylus",109,0,1,5,6,4,0,1,0,21,0,0,38
"Diodorus",0,48,12,0,0,0,0,5,63,0,2,2,84
"Herodotus",3,9,76,0,1,2,7,6,16,2,11,13,70
"Hesiod",23,0,0,50,27,21,1,0,0,8,0,0,80
"HomerIL",3,0,1,4,113,23,0,0,0,1,0,0,32
"HomerOD",6,0,0,7,44,89,0,0,0,3,0,0,60
"Lysias",1,5,17,0,1,0,49,7,29,6,17,8,91
"Plutarch",1,9,16,0,0,0,6,33,39,0,14,4,89
"Polybius",1,9,5,0,0,0,5,6,97,0,4,4,34
"Sophocles",33,0,0,1,12,4,1,0,0,96,1,1,53
"Thucydides",1,12,26,0,1,0,11,5,30,0,32,7,93
"Xenophon",0,11,20,0,0,0,26,7,19,4,11,27,98
"-SUM-",72,55,98,17,92,54,57,37,196,45,60,39,822
"Aeschylus",97,0,0,3,5,2,0,0,0,33,0,0,43
"Diodorus",1,56,5,0,0,0,3,8,67,0,3,2,89
"Herodotus",1,10,68,1,3,0,9,5,16,2,12,17,76
"Hesiod",17,0,1,55,28,18,0,0,0,8,0,0,72
"HomerIL",3,0,0,4,125,19,0,0,0,0,0,0,26
"HomerOD",2,0,0,5,33,91,1,0,0,2,0,0,43
"Lysias",0,6,16,0,0,0,50,6,20,2,10,16,76
"Plutarch",0,9,13,0,1,0,11,32,51,1,8,7,101
"Polybius",0,11,13,0,0,0,5,7,101,0,2,1,39
"Sophocles",25,0,0,6,7,3,1,0,3,89,1,1,47
"Thucydides",0,9,28,0,0,1,15,1,32,1,40,10,97
"Xenophon",0,6,22,0,0,0,18,10,24,1,16,31,97
"-SUM-",49,51,98,19,77,43,63,37,213,50,52,54,806
"Aeschylus",96,0,1,1,5,3,0,1,0,30,0,0,41
"Diodorus",0,52,5,0,0,0,1,5,60,0,6,2,79
"Herodotus",1,10,66,0,1,0,8,3,24,3,12,7,69
"Hesiod",16,0,0,64,27,17,0,0,0,6,0,0,66
"HomerIL",3,0,0,7,109,25,0,0,0,3,0,0,38
"HomerOD",2,0,0,7,49,76,0,0,0,0,0,0,58
"Lysias",1,5,17,0,1,0,57,9,22,4,9,8,76
"Plutarch",1,9,19,0,0,1,2,42,56,0,6,4,98
"Polybius",0,13,6,0,0,0,4,7,106,0,3,5,38
"Sophocles",20,0,0,5,5,2,2,0,0,95,0,0,34
"Thucydides",1,11,25,1,0,2,14,7,28,2,45,11,102
"Xenophon",0,8,24,0,1,1,20,6,25,2,9,38,96
"-SUM-",45,56,97,21,89,51,51,38,215,50,45,37,795
"Aeschylus",98,0,0,1,5,1,0,0,0,29,0,1,37
"Diodorus",1,45,15,0,0,1,4,4,56,0,4,5,90
"Herodotus",2,9,58,0,3,3,8,8,15,1,13,12,74
"Hesiod",19,0,1,65,24,22,1,0,0,7,0,0,74
"HomerIL",3,0,0,6,124,13,0,0,0,1,0,0,23
"HomerOD",3,0,0,5,39,87,0,0,0,0,0,0,47
"Lysias",1,1,16,0,1,0,61,7,17,3,7,9,62
"Plutarch",0,15,19,0,0,2,11,44,42,0,10,10,109
"Polybius",0,13,7,0,0,0,8,3,94,1,2,5,39
"Sophocles",32,0,1,2,5,2,1,0,1,101,0,0,44
"Thucydides",1,0,25,0,0,0,11,8,34,2,39,11,92
"Xenophon",0,6,19,0,0,0,18,9,27,2,14,39,95
"-SUM-",62,44,103,14,77,44,62,39,192,46,50,53,786
"Aeschylus",92,0,0,5,8,2,0,2,0,28,0,0,45
"Diodorus",0,52,4,0,0,0,5,7,59,0,5,2,82
"Herodotus",3,8,67,0,1,0,4,10,17,1,12,8,64
"Hesiod",19,0,1,56,29,16,0,0,0,6,0,0,71
"HomerIL",1,0,0,1,101,20,1,0,0,2,0,0,25
"HomerOD",1,0,0,2,45,97,0,0,0,0,0,0,48
"Lysias",1,3,13,0,1,0,54,9,23,1,16,12,79
"Plutarch",2,14,14,0,0,0,8,31,44,0,6,5,93
"Polybius",0,12,5,0,0,0,2,10,117,1,3,2,35
"Sophocles",30,0,5,1,5,4,1,1,3,104,0,0,50
"Thucydides",2,11,24,0,0,2,12,10,28,0,34,7,96
"Xenophon",1,11,21,0,2,1,25,9,28,0,15,35,113
"-SUM-",60,59,87,9,91,45,58,58,202,39,57,36,801
