"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Plutarch",0,13,18,1,0,0,5,37,41,1,14,7,100
"Polybius",0,25,7,0,0,0,12,7,113,0,6,3,60
"Sophocles",28,0,1,1,8,2,1,3,0,71,0,0,44
"Thucydides",0,9,23,1,0,0,14,6,25,0,32,8,86
"Xenophon",0,3,19,0,0,0,22,4,22,1,14,50,85
"-SUM-",57,59,95,21,88,58,67,38,195,49,62,44,833
"Aeschylus",95,0,0,2,5,3,0,0,1,22,0,0,33
"Diodorus",0,58,13,0,0,0,0,3,48,0,4,0,68
"Herodotus",2,5,63,0,0,0,4,7,22,2,12,12,66
"Hesiod",12,0,1,58,32,27,0,0,0,9,1,0,82
"HomerIL",2,0,0,4,123,27,0,0,0,0,0,0,33
"HomerOD",6,0,0,2,45,105,0,0,0,0,0,0,53
"Lysias",1,3,22,0,0,0,58,6,21,2,15,14,84
"Plutarch",2,5,23,0,0,0,9,40,44,1,7,8,99
"Polybius",0,12,6,0,1,0,6,6,74,0,1,2,34
"Sophocles",28,0,3,2,9,3,1,1,0,97,1,0,48
"Thucydides",0,10,26,0,0,1,20,7,25,2,37,13,104
"Xenophon",0,9,29,0,0,0,25,8,16,1,11,30,99
"-SUM-",53,44,123,10,92,61,65,38,177,39,52,49,803
"Aeschylus",97,1,1,1,3,2,0,0,0,31,0,0,39
"Diodorus",0,50,6,0,1,0,1,5,58,1,2,5,79
"Herodotus",2,12,65,0,0,4,7,4,19,3,12,9,72
"Hesiod",18,0,1,58,28,20,0,0,0,9,0,0,76
"HomerIL",4,0,1,1,141,20,0,0,0,1,0,0,27
"HomerOD",6,0,0,5,37,89,0,0,0,1,0,0,49
"Lysias",1,1,19,0,0,0,48,8,20,1,13,13,76
"Plutarch",0,17,16,0,0,0,11,43,44,1,4,6,99
"Polybius",0,15,7,0,1,0,7,6,87,0,4,1,41
"Sophocles",28,0,3,2,4,3,3,0,0,83,0,2,45
"Thucydides",1,9,17,0,0,0,17,13,27,1,32,11,96
"Xenophon",0,9,22,0,1,0,28,10,30,0,16,33,116
"-SUM-",60,64,93,9,75,49,74,46,198,49,51,47,815
