,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
Lysias,0,0,7,0,0,0,19,0,0,0,0,2,9,,,,
Plutarch,0,2,1,0,0,0,0,28,7,0,2,0,12,,,,
Polybius,0,5,0,0,0,0,0,1,39,0,0,0,6,,,,
Sophocles,4,0,0,0,2,0,0,0,0,33,0,0,6,,,,
Thucydides,0,2,3,0,0,0,4,1,5,0,20,1,16,,,,
Xenophon,0,2,7,0,0,0,4,0,4,0,4,16,21,,,,
-SUM-,7,14,19,1,14,9,10,5,26,3,10,7,125,,,,
Aeschylus,34,0,0,1,0,0,0,0,0,1,0,0,2,,,,
Diodorus,0,24,2,0,0,0,0,1,14,0,2,1,20,,,,
Herodotus,0,1,33,0,0,0,0,1,1,0,2,4,9,,,,
Hesiod,3,0,0,16,4,2,0,0,0,1,0,0,10,,,,
HomerIl,0,0,0,0,33,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,2,10,31,0,0,0,0,0,0,12,,,,
Lysias,0,0,4,0,0,0,29,0,3,0,2,2,11,,,,
Plutarch,0,2,1,0,0,0,0,19,10,0,1,1,15,,,,
Polybius,0,2,0,0,0,0,0,4,37,0,0,2,8,,,,
Sophocles,4,0,0,0,0,0,0,0,0,26,0,0,4,,,,
Thucydides,0,2,10,0,0,0,4,0,3,0,20,3,22,,,,
Xenophon,0,4,6,0,0,0,2,2,3,0,5,20,22,,,,
-SUM-,7,11,23,3,14,5,6,8,34,2,12,13,138,,,,
Aeschylus,30,0,0,0,0,0,0,0,0,5,0,0,5,,,,
Diodorus,0,25,0,0,0,0,0,2,11,0,0,2,15,,,,
Herodotus,1,2,27,0,0,0,3,1,0,0,2,3,12,,,,
Hesiod,0,0,0,36,2,3,0,0,0,0,0,0,5,,,,
HomerIl,0,0,0,1,42,1,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,9,31,0,0,0,0,0,0,9,,,,
Lysias,0,1,2,0,0,0,26,0,1,0,2,3,9,,,,
Plutarch,0,2,2,0,0,0,0,21,6,0,1,2,13,,,,
Polybius,0,2,2,0,0,0,1,2,29,0,0,0,7,,,,
Sophocles,4,0,0,0,0,0,0,0,0,33,0,0,4,,,,
Thucydides,0,1,5,0,0,0,1,2,6,0,25,3,18,,,,
Xenophon,0,3,5,0,0,0,5,3,2,0,7,11,25,,,,
-SUM-,5,11,16,1,11,4,10,10,26,5,12,13,124,,,,
Aeschylus,39,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,20,0,0,0,0,0,1,9,0,1,0,11,,,,
Herodotus,1,1,33,0,0,0,0,1,1,0,3,4,11,,,,
Hesiod,3,0,0,31,4,0,0,0,0,0,0,0,7,,,,
HomerIl,0,0,0,0,36,7,0,0,0,0,0,0,7,,,,
HomerOd,0,0,0,0,5,26,0,0,0,0,0,0,5,,,,
Lysias,0,0,0,0,0,0,31,0,1,0,2,2,5,,,,
Plutarch,0,0,1,0,0,0,0,20,7,0,2,2,12,,,,
Polybius,0,3,1,0,0,0,0,3,34,0,0,1,8,,,,
Sophocles,8,0,0,0,0,0,0,0,0,33,0,0,8,,,,
Thucydides,0,0,4,0,0,0,6,3,3,0,24,5,21,,,,
Xenophon,0,3,6,0,0,0,7,0,1,0,4,14,21,,,,
-SUM-,12,7,12,0,9,7,13,8,22,3,12,14,119,,,,
Aeschylus,44,0,0,0,1,1,0,0,0,4,0,0,6,,,,
Diodorus,0,32,1,0,0,0,0,1,6,0,1,0,9,,,,
Herodotus,1,4,27,0,0,0,0,1,0,0,7,5,18,,,,
Hesiod,0,0,0,29,6,2,0,0,0,1,0,0,9,,,,
HomerIl,0,0,0,1,37,2,0,0,0,0,0,0,3,,,,
HomerOd,1,0,0,2,3,26,0,0,0,0,0,0,6,,,,
Lysias,0,1,5,0,0,0,34,1,1,0,1,1,10,,,,
Plutarch,0,2,1,0,0,0,0,19,8,0,0,1,12,,,,
Polybius,0,5,0,0,0,0,0,0,24,0,0,2,7,,,,
Sophocles,8,0,0,1,1,0,0,0,0,34,0,0,10,,,,
Thucydides,0,0,2,0,0,0,5,3,4,0,15,4,18,,,,
Xenophon,0,1,3,0,0,0,3,0,4,0,5,15,16,,,,
-SUM-,10,13,12,4,11,5,8,6,23,5,14,13,124,,,,
Aeschylus,33,0,0,1,0,0,0,0,0,3,0,0,4,,,,
Diodorus,0,18,1,0,0,0,0,0,11,0,0,1,13,,,,
Herodotus,0,1,34,0,0,0,0,0,0,0,3,2,6,,,,
Hesiod,3,0,0,24,7,2,0,0,0,2,0,0,14,,,,
HomerIl,0,0,0,0,31,6,0,0,0,0,0,0,6,,,,
HomerOd,0,0,0,0,3,34,0,0,0,0,0,0,3,,,,
Lysias,0,0,2,0,0,0,39,0,1,0,3,3,9,,,,
Plutarch,0,2,3,0,0,0,0,25,10,0,0,3,18,,,,
Polybius,0,0,0,0,0,0,1,1,39,0,1,0,3,,,,
Sophocles,1,0,0,0,1,0,0,0,0,29,0,0,2,,,,
Thucydides,0,1,1,0,0,0,2,2,4,0,22,1,11,,,,
Xenophon,0,0,7,0,0,0,4,3,3,0,4,22,21,,,,
-SUM-,4,4,14,1,11,8,7,6,29,5,11,10,110,,,,
Aeschylus,31,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,26,1,0,0,0,0,0,18,0,0,1,20,,,,
Herodotus,1,1,34,0,0,0,2,2,1,0,2,1,10,,,,
Hesiod,0,0,0,28,3,6,0,0,0,2,0,0,11,,,,
HomerIl,0,0,0,0,45,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,8,33,0,0,0,0,0,0,8,,,,
Lysias,0,1,3,0,0,0,28,0,2,0,1,2,9,,,,
Plutarch,0,1,3,0,0,0,0,23,3,0,3,1,11,,,,
Polybius,0,0,1,0,0,0,0,1,32,0,1,0,3,,,,
Sophocles,3,0,0,0,0,0,0,0,0,32,0,0,3,,,,
Thucydides,0,1,7,0,0,0,1,1,3,0,19,2,15,,,,
Xenophon,0,1,4,0,0,0,1,2,0,0,2,24,10,,,,
-SUM-,4,5,19,0,11,7,4,6,27,6,9,7,105,,,,
Aeschylus,27,0,0,0,1,0,0,0,0,4,0,0,5,,,,
Diodorus,0,27,0,0,0,0,0,1,14,0,2,0,17,,,,
Herodotus,0,2,18,0,0,0,1,1,1,0,3,2,10,,,,
Hesiod,0,0,0,27,1,1,0,0,0,0,0,0,2,,,,
HomerIl,0,0,0,0,31,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,2,3,40,0,0,0,0,0,0,5,,,,
Lysias,0,0,6,0,0,0,28,0,1,0,3,3,13,,,,
Plutarch,0,3,2,0,0,0,2,23,13,0,2,1,23,,,,
Polybius,0,3,1,0,0,0,1,1,38,0,0,2,8,,,,
Sophocles,8,0,0,0,1,0,0,0,1,38,0,0,10,,,,
Thucydides,0,3,7,0,0,0,2,0,7,0,18,1,20,,,,
Xenophon,0,2,3,0,0,0,6,0,4,0,3,12,18,,,,
-SUM-,8,13,19,2,6,3,12,3,41,4,13,9,133,,,,
Aeschylus,33,0,0,0,0,0,0,0,0,2,0,0,2,,,,
Diodorus,0,29,0,0,0,0,0,1,17,0,1,0,19,,,,
Herodotus,0,2,24,0,0,0,1,0,0,0,2,5,10,,,,
Hesiod,1,0,0,33,8,1,0,0,0,1,0,0,11,,,,
HomerIl,0,0,0,0,36,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,5,30,0,0,0,0,0,0,5,,,,
Lysias,0,0,5,0,0,0,23,0,1,0,2,0,8,,,,
Plutarch,0,2,4,0,0,0,0,19,6,0,3,0,15,,,,
Polybius,0,4,0,0,0,0,0,3,28,0,0,0,7,,,,
Sophocles,2,0,0,0,1,1,0,0,0,37,0,0,4,,,,
Thucydides,0,2,12,0,0,0,5,0,3,0,19,0,22,,,,
Xenophon,0,3,5,0,0,0,6,0,3,0,3,24,20,,,,
-SUM-,3,13,26,0,14,4,12,4,30,3,11,5,125,,,,
Aeschylus,37,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,34,2,0,0,0,0,1,15,0,0,0,18,,,,
Herodotus,0,1,30,0,0,0,2,1,0,0,4,2,10,,,,
Hesiod,1,0,0,25,5,5,0,0,0,0,0,0,11,,,,
HomerIl,0,0,0,0,42,2,0,0,0,0,0,0,2,,,,
HomerOd,1,0,0,0,4,31,0,0,0,0,0,0,5,,,,
Lysias,0,1,4,0,0,0,27,0,1,0,4,2,12,,,,
Plutarch,0,1,3,0,0,0,0,17,9,0,4,2,19,,,,
Polybius,1,5,0,0,0,0,0,2,26,0,1,0,9,,,,
Sophocles,3,0,0,0,0,0,0,0,0,24,0,0,3,,,,
Thucydides,0,2,6,0,0,0,2,1,1,0,22,4,16,,,,
Xenophon,0,1,7,0,0,0,2,2,1,0,9,15,22,,,,
-SUM-,6,11,22,0,9,7,6,7,27,3,22,10,130,,,,
Aeschylus,31,0,0,0,1,0,0,0,0,6,0,0,7,,,,
Diodorus,0,23,0,0,0,0,0,0,10,0,1,0,11,,,,
Herodotus,0,3,34,0,0,0,3,0,2,0,7,3,18,,,,
Hesiod,1,0,0,30,5,4,0,0,0,1,0,0,11,,,,
HomerIl,1,0,0,1,37,3,0,0,0,0,0,0,5,,,,
HomerOd,0,0,0,0,2,30,0,0,0,0,0,0,2,,,,
Lysias,0,1,3,0,0,0,24,1,2,0,1,2,10,,,,
Plutarch,0,4,0,0,0,0,2,22,6,0,7,1,20,,,,
Polybius,0,4,0,0,0,0,0,2,32,0,0,1,7,,,,
Sophocles,6,0,0,0,1,1,0,0,0,26,0,0,8,,,,
Thucydides,0,1,6,0,0,0,2,2,4,0,13,1,16,,,,
Xenophon,0,1,4,0,0,0,5,1,6,0,4,22,21,,,,
-SUM-,8,14,13,1,9,8,12,6,30,7,20,8,136,,,,
Aeschylus,33,0,0,0,0,0,0,0,0,5,0,0,5,,,460,
Diodorus,0,21,1,0,0,0,0,1,11,0,2,1,16,,,,
Herodotus,0,4,26,0,0,0,3,2,1,0,3,2,15,,,,
Hesiod,1,0,0,26,8,3,0,0,0,1,0,0,13,,,,
HomerIl,0,0,0,1,33,6,0,0,0,0,0,0,7,,,,
HomerOd,0,0,0,0,7,33,0,0,0,0,0,0,7,,,,
Lysias,0,1,3,0,0,0,24,0,1,0,2,3,10,,,,
Plutarch,0,1,1,0,0,0,0,16,10,0,2,3,17,,,,
Polybius,0,3,0,0,0,0,0,1,45,0,0,0,4,,,,
Sophocles,4,0,0,0,1,1,0,0,0,31,0,0,6,,,,
Thucydides,0,3,5,0,0,0,5,2,3,0,18,1,19,,,,
Xenophon,0,0,4,0,0,0,4,3,9,0,0,15,20,,,,
-SUM-,5,12,14,1,16,10,12,9,35,6,9,10,139,,,,
,,,,,,,,,,,,,,,,,
errors,580,949,1858,108,1032,534,1026,673,2925,527,1418,881,,,12511,,33489
,,,,,,,,,,,,,,,,,0.728021739
total ,4674,4223,6439,2868,5817,4520,4572,3436,9250,4474,4755,3483,,,,,
,4094,3274,4581,2760,4785,3986,3546,2763,6325,3947,3337,2602,,,,,
,,,,,,,,,,,,,,,,,
,0.141670738,0.289859499,0.405588299,0.039130435,0.215673981,0.133968891,0.289340102,0.243575823,0.462450593,0.133519128,0.424932574,0.338585703,,,,,
