,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
HomerIl,0,0,0,0,33,4,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,5,29,0,0,0,0,0,0,5,,,,
Lysias,0,1,9,0,0,0,25,0,0,0,3,4,17,,,,
Plutarch,0,2,0,0,0,0,3,22,7,0,2,0,14,,,,
Polybius,0,5,1,0,0,0,0,2,33,0,0,0,8,,,,
Sophocles,6,0,0,0,0,0,0,0,0,35,0,0,6,,,,
Thucydides,0,2,8,0,0,0,1,2,3,0,15,0,16,,,,
Xenophon,0,5,5,0,0,0,0,3,5,0,4,13,22,,,,
-SUM-,7,15,23,0,9,6,5,10,30,9,11,7,132,,,,
Aeschylus,43,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,28,1,0,0,0,0,0,12,0,0,0,13,,,,
Herodotus,0,0,28,0,0,0,1,0,1,0,5,2,9,,,,
Hesiod,1,0,0,25,2,1,0,0,0,2,0,0,6,,,,
HomerIl,0,0,0,0,39,5,0,0,0,0,0,0,5,,,,
HomerOd,0,0,0,0,7,31,0,0,0,0,0,0,7,,,,
Lysias,0,0,5,0,0,0,20,0,2,0,5,0,12,,,,
Plutarch,0,1,1,0,0,0,0,17,7,0,2,1,12,,,,
Polybius,0,2,1,0,0,0,0,0,41,0,2,0,5,,,,
Sophocles,3,0,0,0,1,1,0,0,0,25,0,0,5,,,,
Thucydides,0,1,5,0,0,0,4,1,3,0,24,2,16,,,,
Xenophon,0,0,10,0,0,0,6,3,3,0,1,22,23,,,,
-SUM-,4,4,23,0,10,7,11,4,28,6,15,5,117,,,,
Aeschylus,34,0,0,0,0,1,0,0,0,5,0,0,6,,,,
Diodorus,0,19,2,0,0,0,0,1,9,0,1,0,13,,,,
Herodotus,0,1,38,0,0,0,2,3,4,0,3,4,17,,,,
Hesiod,1,0,0,18,6,3,0,0,0,0,0,0,10,,,,
HomerIl,0,0,0,0,37,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,5,37,0,0,0,0,0,0,6,,,,
Lysias,0,0,2,0,0,0,24,0,0,0,0,2,4,,,,
Plutarch,0,1,3,0,0,0,1,10,16,0,2,1,24,,,,
Polybius,0,3,2,0,0,0,0,0,29,0,0,1,6,,,,
Sophocles,5,0,0,1,2,1,0,0,0,25,0,0,9,,,,
Thucydides,0,1,8,0,0,0,6,1,7,0,22,2,25,,,,
Xenophon,0,3,7,0,0,0,4,0,2,0,9,20,25,,,,
-SUM-,6,9,24,2,13,7,13,5,38,5,15,10,147,,,,
Aeschylus,32,0,0,0,0,1,0,0,0,3,0,0,4,,,,
Diodorus,0,17,0,0,0,0,1,1,13,0,0,1,16,,,,
Herodotus,0,1,26,0,0,0,0,2,0,0,3,3,9,,,,
Hesiod,1,0,0,25,7,3,0,0,0,1,0,0,12,,,,
HomerIl,0,0,0,3,35,2,0,0,0,0,0,0,5,,,,
HomerOd,1,0,0,1,3,32,0,0,0,0,0,0,5,,,,
Lysias,0,0,5,0,0,0,25,0,3,0,1,2,11,,,,
Plutarch,0,0,2,0,0,0,1,21,3,0,1,1,8,,,,
Polybius,0,2,1,0,0,0,0,1,41,0,1,0,5,,,,
Sophocles,2,0,0,0,3,0,0,0,0,45,0,0,5,,,,
Thucydides,0,2,9,0,0,0,2,0,3,0,23,3,19,,,,
Xenophon,0,1,6,0,0,0,6,1,4,0,5,16,23,,,,
-SUM-,4,6,23,4,13,6,10,5,26,4,11,10,122,,,,
Aeschylus,44,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,19,1,0,0,0,0,1,15,0,1,0,18,,,,
Herodotus,0,2,37,0,0,0,3,0,2,0,2,5,14,,,,
Hesiod,1,0,0,22,1,1,0,0,0,0,0,0,3,,,,
HomerIl,0,0,0,0,42,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,2,38,0,0,0,0,0,0,2,,,,
Lysias,0,0,3,0,0,0,30,0,0,0,2,0,5,,,,
Plutarch,0,1,0,0,0,0,2,25,6,0,3,1,13,,,,
Polybius,0,5,0,0,0,0,0,1,32,0,0,0,6,,,,
Sophocles,5,0,0,1,1,0,0,0,0,33,0,0,7,,,,
Thucydides,0,1,5,0,0,0,7,0,5,0,16,1,19,,,,
Xenophon,0,2,2,0,0,0,2,2,4,0,1,16,13,,,,
-SUM-,6,11,11,1,4,3,14,4,32,4,9,7,106,,,,
Aeschylus,46,0,0,1,0,0,0,0,0,7,0,0,8,,,,
Diodorus,0,28,0,0,0,0,0,0,11,0,0,0,11,,,,
Herodotus,0,5,23,0,0,0,2,0,0,0,7,1,15,,,,
Hesiod,1,0,0,25,6,2,0,0,0,0,0,0,9,,,,
HomerIl,0,0,0,0,44,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,4,33,0,0,0,0,0,0,5,,,,
Lysias,0,1,7,0,0,0,17,0,1,0,1,2,12,,,,
Plutarch,0,0,3,0,0,0,0,12,8,0,2,2,15,,,,
Polybius,0,3,0,0,0,0,0,0,34,0,0,0,3,,,,
Sophocles,2,0,0,0,1,1,0,0,1,36,0,0,5,,,,
Thucydides,0,1,3,0,0,0,4,1,6,0,18,2,17,,,,
Xenophon,0,1,6,0,0,0,5,2,4,0,6,18,24,,,,
-SUM-,3,11,19,2,11,5,11,3,31,7,16,7,126,,,,
Aeschylus,38,0,0,2,0,0,0,0,0,5,0,0,7,,,,
Diodorus,0,28,0,0,0,0,0,1,9,0,1,0,11,,,,
Herodotus,0,1,29,0,0,0,0,0,0,0,4,4,9,,,,
Hesiod,1,0,1,24,5,2,0,0,0,0,0,0,9,,,,
HomerIl,0,0,0,0,31,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,5,29,0,0,0,0,0,0,5,,,,
Lysias,0,0,7,0,0,0,34,0,0,0,3,2,12,,,,
Plutarch,0,4,2,0,0,0,1,20,8,0,1,2,18,,,,
Polybius,0,3,0,0,0,0,0,4,39,0,0,0,7,,,,
Sophocles,3,0,0,0,0,0,0,0,0,37,0,0,3,,,,
Thucydides,0,1,5,0,0,0,3,3,1,0,12,1,14,,,,
Xenophon,0,1,11,0,0,0,3,2,2,0,8,14,27,,,,
-SUM-,4,10,26,2,10,5,7,10,20,5,17,9,125,,,,
Aeschylus,39,0,0,0,1,1,0,0,0,3,0,0,5,,,,
Diodorus,0,20,1,0,0,0,0,0,9,0,1,2,13,,,,
Herodotus,0,1,33,0,0,0,1,1,2,0,3,2,10,,,,
Hesiod,1,0,0,26,5,1,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,0,35,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,5,27,0,0,0,0,0,0,5,,,,
Lysias,0,0,4,0,0,0,31,0,3,0,3,2,12,,,,
Plutarch,0,2,1,0,0,0,0,20,11,0,2,2,18,,,,
Polybius,0,4,2,0,0,0,0,1,29,0,1,1,9,,,,
Sophocles,6,0,0,1,0,1,0,0,0,33,0,0,8,,,,
Thucydides,0,1,7,0,0,0,0,1,3,0,15,6,18,,,,
Xenophon,0,3,2,0,0,0,3,3,6,0,6,21,23,,,,
-SUM-,7,11,17,1,11,5,4,6,34,4,16,15,131,,,,
Aeschylus,38,0,0,0,0,1,0,0,0,8,0,0,9,,,,
Diodorus,0,25,1,0,0,0,0,0,11,0,2,1,15,,,,
Herodotus,0,0,26,0,0,0,2,0,0,0,3,2,7,,,,
Hesiod,1,0,0,32,5,3,0,0,0,0,0,0,9,,,,
HomerIl,0,0,0,1,38,3,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,1,5,39,0,0,0,0,0,0,6,,,,
Lysias,0,1,4,0,0,0,25,1,3,0,1,1,11,,,,
Plutarch,0,0,1,0,0,0,1,28,9,0,3,1,15,,,,
Polybius,0,5,0,0,0,0,0,2,29,0,0,0,7,,,,
Sophocles,5,0,0,0,2,0,0,0,0,20,0,0,7,,,,
Thucydides,0,1,6,0,0,0,2,3,5,0,11,6,23,,,,
Xenophon,0,1,3,0,0,0,5,1,3,0,7,16,20,,,,
-SUM-,6,8,15,2,12,7,10,7,31,8,16,11,133,,,,
Aeschylus,41,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,23,0,0,0,0,0,1,15,0,0,1,17,,,,
Herodotus,0,1,27,0,0,0,1,0,1,0,3,3,9,,,,
Hesiod,2,0,0,24,9,2,0,0,0,1,0,0,14,,,,
HomerIl,0,0,0,1,35,0,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,5,33,0,0,0,0,0,0,5,,,,
Lysias,0,0,1,0,0,0,22,0,0,0,3,2,6,,,,
Plutarch,0,3,3,0,0,0,1,26,5,0,2,1,15,,,,
Polybius,0,1,0,0,0,0,0,1,41,0,1,0,3,,,,
Sophocles,4,0,0,0,0,1,0,0,0,30,0,0,5,,,,
Thucydides,0,1,7,0,0,0,2,0,4,0,24,2,16,,,,
Xenophon,0,2,4,0,0,0,3,1,4,0,1,22,15,,,,
-SUM-,6,8,15,1,14,3,7,3,29,7,10,9,112,,,,
Aeschylus,29,0,0,1,0,0,0,0,0,5,0,0,6,,,,
Diodorus,0,21,2,0,0,0,1,0,8,0,3,0,14,,,,
Herodotus,0,0,27,0,0,0,2,2,3,0,2,1,10,,,,
Hesiod,0,0,1,19,2,2,0,0,0,1,0,0,6,,,,
HomerIl,1,0,0,1,40,1,0,0,0,0,0,0,3,,,,
