"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Herodotus",1,4,67,0,0,0,10,6,19,1,16,16,73
"Hesiod",9,0,0,55,19,15,0,0,0,4,0,0,47
"HomerIL",1,0,0,4,93,16,0,0,0,1,0,0,22
"HomerOd",3,0,0,5,40,80,0,0,0,1,0,0,49
"Lysias",0,4,12,0,1,0,59,1,19,0,4,10,51
"Plutarch",0,6,17,0,0,0,5,36,27,0,7,5,67
"Polybius",0,11,2,0,0,0,1,4,118,0,4,2,24
"Sophocles",27,0,0,1,5,2,0,0,0,89,0,0,35
"Thucydides",0,9,13,0,0,2,10,9,24,0,37,12,79
"Xenophon",1,5,11,0,0,0,18,9,22,1,16,31,83
"-SUM-",42,39,65,12,67,40,45,35,156,35,52,47,635
"Aeschylus",90,0,1,2,5,2,0,0,0,25,0,0,35
"Diodorus",0,36,5,0,0,0,1,2,51,0,6,3,68
"Herodotus",1,6,56,0,2,0,5,7,15,1,9,8,54
"Hesiod",14,0,1,60,21,17,0,0,0,7,0,0,60
"HomerIL",3,0,0,3,98,21,0,0,1,2,0,0,30
"HomerOd",2,0,1,8,26,82,0,0,0,0,0,0,37
"Lysias",0,4,10,0,1,0,53,4,21,2,8,12,62
"Plutarch",1,10,11,0,0,0,6,42,35,1,8,5,77
"Polybius",0,12,2,0,0,0,1,9,119,0,1,1,26
"Sophocles",22,0,1,2,2,5,2,0,1,92,0,0,35
"Thucydides",1,5,15,0,0,1,10,3,22,0,39,6,63
"Xenophon",2,5,26,0,2,0,19,3,16,0,14,34,87
"-SUM-",46,42,73,15,59,46,44,28,162,38,46,35,634
"Aeschylus",84,0,0,9,7,6,0,0,1,17,0,0,40
"Diodorus",0,41,10,0,0,0,1,5,55,0,3,4,78
"Herodotus",4,7,48,0,0,0,9,10,17,2,9,3,61
"Hesiod",12,0,0,53,19,19,0,0,0,10,0,0,60
"HomerIL",1,0,0,2,99,18,0,0,0,0,0,0,21
"HomerOd",3,0,0,3,34,86,0,0,0,2,0,0,42
"Lysias",0,2,12,0,0,1,49,5,15,1,13,9,58
"Plutarch",1,14,12,0,0,0,5,31,30,1,12,3,78
"Polybius",0,8,4,0,0,0,3,9,100,0,3,6,33
"Sophocles",19,0,1,3,4,1,0,0,1,94,1,1,31
"Thucydides",0,4,22,0,0,2,11,10,19,0,40,15,83
"Xenophon",0,10,18,0,0,0,23,5,16,1,20,32,93
"-SUM-",40,45,79,17,64,47,52,44,154,34,61,41,678
"Aeschylus",84,0,0,2,6,4,0,1,0,33,0,0,46
"Diodorus",0,39,4,0,0,1,1,11,40,0,5,3,65
"Herodotus",3,5,49,1,0,0,7,5,25,1,12,11,70
"Hesiod",15,0,0,62,23,15,0,0,0,5,0,0,58
"HomerIL",4,0,1,5,113,12,0,0,0,0,0,0,22
"HomerOd",2,0,0,8,34,83,0,0,0,0,0,0,44
"Lysias",0,1,16,0,1,1,53,4,18,2,9,14,66
"Plutarch",0,5,19,0,0,0,1,42,25,0,5,5,60
"Polybius",1,8,5,0,0,0,2,4,99,0,4,3,27
"Sophocles",20,0,0,3,8,2,2,0,1,83,0,0,36
"Thucydides",0,8,27,0,0,0,13,12,20,0,34,8,88
"Xenophon",0,7,18,0,1,0,17,5,22,0,8,34,78
"-SUM-",45,34,90,19,73,35,43,42,151,41,43,44,660
"Aeschylus",85,0,2,3,7,2,1,0,0,20,0,0,35
"Diodorus",0,46,10,0,0,0,0,4,39,0,3,3,59
"Herodotus",1,5,65,0,0,1,9,9,19,0,10,9,63
"Hesiod",12,0,0,49,27,13,0,0,0,6,0,0,58
"HomerIL",1,0,0,5,117,15,0,0,0,0,0,0,21
"HomerOd",2,0,1,3,40,85,0,0,0,3,0,0,49
"Lysias",0,6,18,0,1,0,52,6,14,1,10,14,70
"Plutarch",0,4,18,0,0,0,6,30,29,1,10,1,69
"Polybius",0,9,13,0,0,0,3,4,97,0,4,1,34
"Sophocles",17,0,0,1,4,3,0,0,1,82,0,0,26
"Thucydides",0,5,25,0,0,1,11,6,23,0,31,9,80
"Xenophon",0,8,22,0,1,1,29,8,15,0,19,29,103
"-SUM-",33,37,109,12,80,36,59,37,140,31,56,37,667
"Aeschylus",88,0,0,5,1,2,1,0,0,18,0,0,27
"Diodorus",0,38,13,0,0,0,3,2,57,0,2,1,78
"Herodotus",1,5,49,0,2,0,6,6,14,2,19,11,66
"Hesiod",11,0,0,59,16,26,0,0,0,5,0,0,58
"HomerIL",3,0,0,3,95,18,0,0,1,1,0,0,26
"HomerOd",2,0,0,3,34,81,0,0,0,0,0,0,39
"Lysias",1,4,19,0,1,0,46,3,20,0,8,11,67
"Plutarch",0,10,14,1,0,0,6,37,29,2,7,6,75
"Polybius",0,9,6,0,0,0,6,9,102,0,3,5,38
"Sophocles",33,0,4,0,4,2,5,0,1,85,0,1,50
"Thucydides",0,5,19,0,0,1,11,9,23,1,42,7,76
"Xenophon",0,6,17,0,0,0,16,2,21,0,17,34,79
