"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIl","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"-SUM-",15,9,36,3,22,22,24,17,50,16,25,18,257
"Aeschylus",44,0,0,0,0,1,0,0,0,9,0,0,10
"Diodorus",0,27,4,0,0,0,0,4,23,0,1,1,33
"Herodotus",0,3,27,0,0,0,2,7,3,0,5,6,26
"Hesiod",4,0,0,41,9,9,0,0,0,1,0,0,23
"HomerIl",0,0,0,1,58,13,0,0,0,1,0,0,15
"HomerOd",0,0,0,1,10,48,0,0,0,0,0,0,11
"Lysias",0,0,8,0,0,0,33,2,6,0,4,10,30
"Plutarch",0,6,5,0,0,0,2,30,16,0,4,4,37
"Polybius",0,3,1,0,1,0,2,4,63,0,3,0,14
"Sophocles",14,0,1,0,0,1,0,0,1,57,0,0,17
"Thucydides",0,0,11,0,0,0,7,6,12,0,30,4,40
"Xenophon",0,1,5,0,0,0,13,3,6,0,5,18,33
"-SUM-",18,13,35,2,20,24,26,26,67,11,22,25,289
"Aeschylus",53,0,0,2,0,1,0,0,0,14,0,0,17
"Diodorus",0,24,2,0,0,0,1,2,23,0,0,0,28
"Herodotus",0,5,47,0,0,0,4,3,3,0,6,2,23
"Hesiod",2,0,0,46,9,5,0,0,0,1,0,0,17
"HomerIl",0,0,0,1,61,5,0,0,0,0,0,0,6
"HomerOd",0,0,0,1,11,63,0,0,0,0,0,0,12
"Lysias",0,0,3,0,0,0,35,1,6,0,4,7,21
"Plutarch",0,4,8,0,0,0,4,32,11,0,8,1,36
"Polybius",0,7,2,0,0,0,1,2,41,0,1,0,13
"Sophocles",10,0,0,1,1,1,0,0,1,62,0,0,14
"Thucydides",0,0,13,0,0,0,3,4,7,0,20,10,37
"Xenophon",0,5,3,0,0,0,14,2,4,0,9,20,37
"-SUM-",12,21,31,5,21,12,27,14,55,15,28,20,261
"Aeschylus",57,0,0,0,0,2,0,0,0,14,0,0,16
"Diodorus",0,30,4,0,0,0,0,2,14,0,2,1,23
"Herodotus",1,1,44,0,0,0,6,4,2,1,7,7,29
"Hesiod",1,0,0,33,19,9,0,0,0,2,0,0,31
"HomerIl",0,0,0,0,55,10,0,0,0,0,0,0,10
"HomerOd",0,0,0,1,8,60,0,0,0,2,0,0,11
"Lysias",0,1,5,0,0,0,39,2,2,0,5,5,20
"Plutarch",0,4,7,0,0,0,3,25,15,0,5,0,34
"Polybius",0,4,2,0,0,0,2,4,53,0,1,0,13
