"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Diodorus",23,1,0,10,0,11
"Herodotus",1,24,1,2,4,8
"Plutarch",5,2,17,7,4,18
"Polybius",1,0,1,36,0,2
"Thucydides",1,7,5,5,13,18
"-SUM-",8,10,7,24,8,57
"Diodorus",22,1,0,10,0,11
"Herodotus",0,28,0,0,2,2
"Plutarch",5,1,20,3,3,12
"Polybius",2,0,1,33,1,4
"Thucydides",3,8,0,4,23,15
"-SUM-",10,10,1,17,6,44
"Diodorus",22,1,1,3,0,5
"Herodotus",1,27,2,4,3,10
"Plutarch",0,3,27,8,6,17
"Polybius",6,0,0,23,0,6
"Thucydides",2,10,4,3,14,19
"-SUM-",9,14,7,18,9,57
"Diodorus",23,1,3,13,0,17
"Herodotus",1,23,2,4,5,12
"Plutarch",5,1,18,10,2,18
"Polybius",4,0,2,25,0,6
"Thucydides",1,3,4,2,18,10
"-SUM-",11,5,11,29,7,63
"Diodorus",23,0,1,11,1,13
"Herodotus",1,28,3,2,2,8
"Plutarch",3,5,14,6,4,18
"Polybius",2,2,3,26,1,8
"Thucydides",0,11,3,0,18,14
"-SUM-",6,18,10,19,8,61
"Diodorus",25,0,0,8,1,9
"Herodotus",2,33,0,1,5,8
"Plutarch",0,2,24,4,6,12
"Polybius",6,0,0,23,1,7
"Thucydides",1,7,1,2,18,11
"-SUM-",9,9,1,15,13,47
"Diodorus",19,1,1,6,1,9
"Herodotus",0,41,0,1,1,2
"Plutarch",0,3,16,9,2,14
"Polybius",4,1,2,36,0,7
"Thucydides",1,4,4,2,15,11
"-SUM-",5,9,7,18,4,43
"Diodorus",21,2,3,13,0,18
"Herodotus",2,22,1,1,3,7
"Plutarch",0,4,16,10,3,17
"Polybius",4,2,1,26,0,7
"Thucydides",4,4,2,4,22,14
"-SUM-",10,12,7,28,6,63
"Diodorus",19,6,4,11,0,21
"Herodotus",1,17,0,4,2,7
"Plutarch",0,2,22,6,6,14
"Polybius",5,0,0,20,1,6
"Thucydides",3,9,5,7,20,24
"-SUM-",9,17,9,28,9,72
"Diodorus",18,3,1,14,0,18
"Herodotus",0,27,1,1,3,5
"Plutarch",2,2,20,4,3,11
"Polybius",4,2,4,26,2,12
"Thucydides",3,9,1,1,19,14
"-SUM-",9,16,7,20,8,60
"Diodorus",17,2,2,10,2,16
"Herodotus",1,36,1,5,2,9
"Plutarch",3,1,19,5,4,13
"Polybius",2,0,1,28,0,3
"Thucydides",2,7,4,0,16,13
"-SUM-",8,10,8,20,8,54
"Diodorus",20,0,3,8,0,11
"Herodotus",2,26,1,1,6,10
"Plutarch",2,2,16,12,3,19
"Polybius",2,0,1,29,1,4
"Thucydides",1,10,1,5,18,17
"-SUM-",7,12,6,26,10,61
"Diodorus",21,1,2,12,1,16
"Herodotus",1,25,1,1,2,5
"Plutarch",2,0,12,6,3,11
"Polybius",5,1,3,32,2,11
"Thucydides",3,3,1,7,23,14
"-SUM-",11,5,7,26,8,57
"Diodorus",23,2,0,8,0,10
"Herodotus",0,21,1,2,3,6
"Plutarch",3,3,19,4,3,13
"Polybius",4,2,1,31,1,8
"Thucydides",1,7,3,4,24,15
"-SUM-",8,14,5,18,7,52
"Diodorus",18,4,3,6,0,13
"Herodotus",3,28,1,0,2,6
"Plutarch",1,3,18,5,7,16
"Polybius",6,2,2,36,1,11
"Thucydides",2,5,3,2,12,12
"-SUM-",12,14,9,13,10,58
"Diodorus",25,1,1,13,0,15
"Herodotus",2,23,3,1,2,8
"Plutarch",2,4,24,1,4,11
"Polybius",2,1,0,30,0,3
"Thucydides",2,9,1,1,18,13
"-SUM-",8,15,5,16,6,50
"Diodorus",20,0,1,12,0,13
"Herodotus",0,26,0,5,6,11
"Plutarch",5,1,17,4,4,14
"Polybius",3,1,1,28,1,6
"Thucydides",1,9,3,5,17,18
"-SUM-",9,11,5,26,11,62
"Diodorus",20,1,2,8,0,11
"Herodotus",1,26,1,1,3,6
"Plutarch",1,4,21,8,4,17
"Polybius",4,0,0,33,2,6
"Thucydides",0,8,3,3,16,14
"-SUM-",6,13,6,20,9,54
"Diodorus",27,2,1,9,2,14
"Herodotus",1,24,2,1,3,7
"Plutarch",3,4,14,5,4,16
"Polybius",3,1,1,24,1,6
"Thucydides",0,10,1,4,23,15
"-SUM-",7,17,5,19,10,58
"Diodorus",20,1,0,9,2,12
"Herodotus",1,20,1,0,8,10
"Plutarch",2,5,14,7,4,18
"Polybius",6,2,0,26,1,9
"Thucydides",4,4,1,4,28,13
"-SUM-",13,12,2,20,15,62
"Diodorus",20,0,3,10,0,13
"Herodotus",2,25,2,1,5,10
"Plutarch",5,1,22,2,2,10
"Polybius",1,0,3,23,0,4
"Thucydides",1,6,4,1,31,12
"-SUM-",9,7,12,14,7,49
"Diodorus",26,3,3,9,1,16
"Herodotus",0,21,0,3,3,6
"Plutarch",7,2,24,10,7,26
"Polybius",1,2,0,27,0,3
"Thucydides",1,2,2,0,16,5
"-SUM-",9,9,5,22,11,56
"Diodorus",18,1,0,14,0,15
"Herodotus",1,26,2,3,3,9
"Plutarch",3,2,21,8,5,18
"Polybius",7,0,0,25,0,7
"Thucydides",3,4,1,2,21,10
"-SUM-",14,7,3,27,8,59
"Diodorus",27,0,1,3,2,6
"Herodotus",1,28,0,2,5,8
"Plutarch",3,3,20,9,3,18
"Polybius",3,1,1,29,1,6
"Thucydides",1,5,2,5,15,13
"-SUM-",8,9,4,19,11,51
"Diodorus",23,2,3,9,1,15
"Herodotus",0,27,1,0,4,5
"Plutarch",3,3,15,4,3,13
"Polybius",2,0,0,31,0,2
"Thucydides",1,4,4,7,23,16
"-SUM-",6,9,8,20,8,51
"Diodorus",14,3,0,9,1,13
"Herodotus",3,26,2,0,7,12
"Plutarch",2,2,18,6,5,15
"Polybius",3,0,0,33,0,3
"Thucydides",3,7,2,4,20,16
"-SUM-",11,12,4,19,13,59
"Diodorus",23,0,1,9,0,10
"Herodotus",2,22,1,0,5,8
"Plutarch",5,3,18,9,5,22
"Polybius",2,0,4,28,2,8
"Thucydides",0,8,3,2,18,13
"-SUM-",9,11,9,20,12,61
"Diodorus",22,0,1,12,0,13
"Herodotus",2,28,2,2,4,10
"Plutarch",1,3,20,4,6,14
"Polybius",4,0,2,30,0,6
"Thucydides",2,6,1,2,16,11
"-SUM-",9,9,6,20,10,54
"Diodorus",21,4,0,10,0,14
"Herodotus",4,26,1,1,5,11
"Plutarch",4,1,15,3,3,11
"Polybius",4,1,1,28,1,7
"Thucydides",1,10,7,2,17,20
"-SUM-",13,16,9,16,9,63
"Diodorus",25,1,3,9,1,14
"Herodotus",0,16,2,0,4,6
"Plutarch",0,3,19,9,5,17
"Polybius",5,2,1,28,1,9
"Thucydides",2,4,4,7,19,17
"-SUM-",7,10,10,25,11,63
"Diodorus",20,2,1,7,0,10
"Herodotus",0,25,1,3,3,7
"Plutarch",3,4,22,2,5,14
"Polybius",2,1,0,36,0,3
"Thucydides",1,12,3,2,15,18
"-SUM-",6,19,5,14,8,52
"Diodorus",19,1,1,10,0,12
"Herodotus",1,24,3,0,7,11
"Plutarch",2,3,22,10,2,17
"Polybius",5,1,1,26,0,7
"Thucydides",2,9,5,1,15,17
"-SUM-",10,14,10,21,9,64
"Diodorus",22,2,1,10,0,13
"Herodotus",0,13,2,3,2,7
"Plutarch",1,5,24,5,4,15
"Polybius",4,1,2,30,0,7
"Thucydides",3,10,3,4,19,20
"-SUM-",8,18,8,22,6,62
"Diodorus",18,3,1,11,1,16
"Herodotus",4,30,1,3,6,14
"Plutarch",3,3,24,6,1,13
