"","Aesch_Ag","Aesch_Ch","Aesch_Eum","Aesch_Pers","Aesch_Prom","Aesch_Sept","Aesch_Sup","Athen_12-13","DiodSic_11","Hdt_1","Hesiod_Op","Hesiod_Sh","Hesiod_Th","Iliad_1-4","Iliad_13-16","Iliad_17-20","Iliad_21-24","Iliad_5-8","Iliad_9-12","Lysias_Sels","Od_1-4","Od_13-16","Od_17-20","Od_21-24","Od_5-8","Od_9-12","Plb_1","Plb_9&10","Plut_Alc","Plut_Lyc","Soph_Aj","Soph_Ant","Soph_El","Soph_OT","Soph_Trach","Thuc_1"
"Od_5-8",70.7382516888456,72.7170475357477,74.2519086051903,74.1455203717032,71.6835933442501,72.9276976126981,74.6019577567751,63.3937669728656,78.4242530753003,64.0311150686684,71.8767774367768,76.7377032208048,71.0081817767933,54.090512692028,49.7069503410329,50.4297678081332,49.6470776033782,49.1357496399238,50.5784356021247,70.5643909798783,50.0377027233999,46.4167226541828,48.0042689428819,50.1297763674302,0,49.1554065663257,72.3743401589385,72.358022426382,74.1723392429398,76.282387028339,67.2733842947709,67.9349815062545,68.5084554823075,67.0453000576565,70.5707420520464,65.0712080233103
"Od_9-12",71.0003432977874,73.4283613490421,73.6978404586172,74.6368337646207,71.87760657668,72.5209858443218,76.2836798297087,64.4569306748173,77.9725241382821,63.3920205709836,72.7089029800286,76.6039270091321,69.8361009263526,53.2248119241346,50.1931896991507,54.3236413456907,49.7815421439935,48.5689509808161,50.8633337886824,70.7721250000642,46.4719356494709,44.6571041209642,48.4078313429454,48.2337993731615,49.1554065663257,0,72.3265575193266,73.5326864475846,74.0180803019198,76.0275994103405,67.1649621155179,69.2984586611951,69.851566961745,67.4900202406745,72.2935562584185,65.1352382496641
"Plb_1",77.0657634298665,80.3678650370396,79.3129448252052,82.2403547310205,80.2390381423043,81.3930465633173,82.0583521446239,56.25702018418,51.5645585113256,56.0023665572947,81.4920896265125,86.7891004123745,81.7861617089018,72.6704640789171,67.4691786997764,71.2585014685398,68.6670069666249,70.6633209881674,71.090804909083,65.8108849721326,70.5454142774126,69.1944853041326,69.8570383973925,70.953801188944,72.3743401589385,72.3265575193266,0,47.248313827678,61.03444883049,61.4647353912271,74.7153056761224,75.7342385572873,77.7079714978417,74.5007636292741,79.9528386682862,55.7285942205842
"Plb_9&10",77.1199715531889,80.6740370004108,79.9366146070791,83.3147096024001,81.173196580109,81.6320523308272,82.7405758363219,56.5696735059071,58.0057707115901,55.326350746037,82.7225225809423,88.6387196972626,84.3239119820218,73.2849470010648,68.7080090112657,71.0539224295249,68.9295866333407,70.6340785606987,71.8679977159716,63.0068330043605,70.9779211678301,69.1143243606338,69.8852916604572,71.1445818849186,72.358022426382,73.5326864475846,47.248313827678,0,61.4890270789278,60.4247960750421,74.7106622342891,75.7087556306638,77.2122924763285,74.6486403776026,79.4780537398178,55.4782445257845
"Plut_Alc",82.5017912537721,83.2018266134979,83.8372257050514,86.2456522456151,84.3078902281159,85.6229519190013,87.37296562336,62.5664671540963,62.6614201667724,58.3507133453347,83.7414246979262,91.0155927178173,86.2998011104608,75.6397964842784,70.5602505869836,73.5109587171127,70.7433721224801,72.8740967493125,73.5218883645089,68.1043690246914,72.1125790765906,71.6011026782369,71.0635474965914,73.4494388326253,74.1723392429398,74.0180803019198,61.03444883049,61.4890270789278,0,64.3747876314925,78.4337706896009,78.2532424852153,81.4570156114816,77.9180978853488,82.6812199951961,58.4411465352858
"Plut_Lyc",79.6730530878461,82.683532423595,81.5826272739844,85.9576201910453,83.6958702907103,84.4990991305552,86.1741126129416,58.6522014642598,70.0765941596385,59.9587971286737,86.015128517978,91.6958510154889,86.5564064488076,77.1042839541458,72.8401805502624,75.0079320669662,73.9176663571137,74.8627124614689,75.898459100522,67.2673884114267,73.7979521860766,73.575645309687,73.6619658541814,75.7638874946959,76.282387028339,76.0275994103405,61.4647353912271,60.4247960750421,64.3747876314925,0,78.1031517040235,77.7618014457095,80.883182511347,76.719052843074,83.3316813397439,61.9398130555045
"Soph_Aj",66.5445916042011,69.6803150689853,73.3220777656637,75.6895419783236,69.8587989354714,73.278816533245,73.9462926938243,65.3514457566739,82.2230081876503,68.6330141439787,77.637598777474,83.9692133461395,79.7180931024525,67.4383977988776,62.662686817678,65.2051145889538,63.0115667024644,66.1605815707711,64.7820413484518,72.1181519841817,65.518171789237,64.4541206554393,62.8597986699653,65.8325089973941,67.2733842947709,67.1649621155179,74.7153056761224,74.7106622342891,78.4337706896009,78.1031517040235,0,65.274744143111,64.0001635285511,62.381181211321,68.794415909652,71.4014157410404
"Soph_Ant",68.0042724380352,73.0036900866815,73.2061273648911,72.6070538633224,69.8805673622249,74.3084197209475,75.3982861896609,65.3424639809816,81.9965486023313,67.8689315197118,77.8264246864048,85.4699998342832,81.2537323231788,68.4770742832872,66.4927948343985,67.9074510915198,65.1408843391253,67.0668651907893,66.198280469083,72.7986844140329,66.9863130742013,65.42022462885,63.5828780738936,67.334332701777,67.9349815062545,69.2984586611951,75.7342385572873,75.7087556306638,78.2532424852153,77.7618014457095,65.274744143111,0,62.2438191036931,61.573452981517,68.4833213617322,71.7433831542214
"Soph_El",66.8208624361834,71.7348318629464,73.0192671611498,75.7451030344398,68.8731418676492,72.6938322274912,72.1426243216445,67.1818914099573,86.0163520188375,70.6917188575239,78.7839713147252,86.8951625780264,81.3796134844747,69.7871412493036,66.7748530041427,67.4405616590902,65.8354100137486,68.1271860909012,67.5183006083256,73.8930309821049,66.9528952142298,66.7465150838058,64.3193706278808,67.4849528510894,68.5084554823075,69.851566961745,77.7079714978417,77.2122924763285,81.4570156114816,80.883182511347,64.0001635285511,62.2438191036931,0,56.419745173006,63.3864933501351,73.9850692380992
"Soph_OT",64.0139190118743,69.6947300079914,72.2276536596593,73.495457463137,65.806812938308,72.4256918836,71.4668169995875,62.205479926911,82.8612841291422,66.6014927036842,77.0045773755587,84.2534118849617,80.4258066091446,67.1589382743187,64.3555305306817,64.0135148125586,63.2846153553054,65.2247532635882,64.9632526664861,70.3267441568576,64.6411648269566,64.013991121987,62.1588541049385,65.6376466060346,67.0453000576565,67.4900202406745,74.5007636292741,74.6486403776026,77.9180978853488,76.719052843074,62.381181211321,61.573452981517,56.419745173006,0,64.0497713294533,70.3114522199643
"Soph_Trach",73.4592818619569,75.2680414525759,77.5176846754289,77.7858032901807,73.5926332035794,76.6499702024274,76.4215579146415,70.8232470333741,86.9185679493142,72.3037101026627,82.1814994458096,88.9926219766041,84.1729947837508,72.0891357612651,68.719067237198,71.2151460291128,68.4741240309467,70.4806185437966,70.8269524232612,77.3384415422637,69.0314992359223,68.153049088636,66.2208460681949,69.3429059368728,70.5707420520464,72.2935562584185,79.9528386682862,79.4780537398178,82.6812199951961,83.3316813397439,68.794415909652,68.4833213617322,63.3864933501351,64.0497713294533,0,76.8325559205571
"Thuc_1",75.6916143806441,77.6041364714892,77.4717068256324,78.4295276377032,77.4275967809366,78.3817621668365,81.7576757374175,56.2148846868239,56.9272303311576,47.8871642564373,77.2525447821631,83.8781222286258,78.7515717813195,66.0979274521238,61.0578657386075,64.5693649361514,61.1619255695527,63.3597448295201,64.213697221353,59.3204033707263,62.9771626979842,62.7685282290096,61.9988032147751,64.3608652956901,65.0712080233103,65.1352382496641,55.7285942205842,55.4782445257845,58.4411465352858,61.9398130555045,71.4014157410404,71.7433831542214,73.9850692380992,70.3114522199643,76.8325559205571,0
