"","Aesch_Ag","Aesch_Ch","Aesch_Eum","Aesch_Pers","Aesch_Prom","Aesch_Sept","Aesch_Sup","Athen_12-13","DiodSic_11","Hdt_1","Hesiod_Op","Hesiod_Sh","Hesiod_Th","Iliad_1-4","Iliad_13-16","Iliad_17-20","Iliad_21-24","Iliad_5-8","Iliad_9-12","Lysias_Sels","Od_1-4","Od_13-16","Od_17-20","Od_21-24","Od_5-8","Od_9-12","Plb_1","Plb_9&10","Plut_Alc","Plut_Lyc","Soph_Aj","Soph_Ant","Soph_El","Soph_OT","Soph_Trach","Thuc_1"
"Od_1-4",6.21692291732628,5.31456188042482,4.687462486258,4.08763771531769,4.15526589936093,4.48680945609904,6.56577224409225,4.60349581142987,5.2067208403648,3.74385197950729,3.6006288697316,3.62181387783486,4.13688060407725,1.78970731920314,2.29718677135251,2.21120130453667,2.63046724171366,2.03409151537621,1.80704488957716,4.88175414411253,0,1.50910595000589,1.86571039862464,1.54818054458207,1.36335461551736,1.83079899989481,5.83892409170095,5.67999106842641,5.29707164237556,5.29546566322357,4.92326123015829,4.2015471273548,5.56530055241638,4.99101292525258,4.36651469752469,4.77431620071997
"Od_13-16",6.52100443795415,5.50004151695088,5.04127725900607,4.51582893644963,4.48232408620725,4.8128925271363,6.73404709607902,5.06824297720114,5.6621997839962,4.28242191198535,3.84727740884661,3.62255622299212,4.52547350752427,1.68046684885032,2.07877897996653,1.89941192618942,2.42887306524102,1.91751218705842,1.78293793489041,5.37006689375684,1.50910595000589,0,1.31938602328743,1.06061147436761,1.30668620604273,1.73973326128845,6.35354817391933,6.24699961740321,5.91259126307495,5.85749007626431,5.25418806404012,4.66206490832314,5.84432752910028,5.28470668224184,4.85681917227237,5.31572340603868
"Od_17-20",6.09535367607391,4.8523177720615,4.75981872133457,4.04971898674215,4.00661747854314,4.30765365165305,6.05841506884927,4.78950106774317,6.00564513038231,4.44896461079092,3.39415661037017,3.42850358244877,4.47961612506031,2.07306355057604,2.61225546845773,2.17763750906644,2.95755955635978,2.45368303942636,2.37358330923447,5.43321790035246,1.86571039862464,1.31938602328743,0,1.49366871259255,1.897605493607,2.53275702039632,6.50186288648527,6.42975397398052,6.15462200426726,5.89888766646347,4.67046627981864,4.24234769319281,5.3041342605525,4.78042205783931,4.43952223299859,5.69291614760955
"Od_21-24",6.52065557608709,5.68661642779801,5.049534851545,4.5792643337727,4.69461341130575,4.9402755566727,6.93856698308007,5.03090997841006,5.45696657761063,4.12297227839167,3.92459055606858,3.59918016043156,4.45707950318221,1.66485718520604,1.83456720237447,1.79394622637402,2.18247444444844,1.77007277684823,1.65559143921663,5.39167901712498,1.54818054458207,1.06061147436761,1.49366871259255,0,1.23409703147742,1.58594761601308,6.21318057338879,6.12352427570718,5.72773184506073,5.78110789110493,5.48447849263136,4.82556588192951,6.11908753444798,5.5573869359788,5.02991836005303,5.1254568017963
"Od_5-8",6.54247640673554,5.63424213528556,4.98429654220017,4.37667032427804,4.51527386173078,4.77012231321043,6.89699689751326,4.88783667566009,5.24425343260659,3.88597574404733,3.81348983382556,3.48809966372526,4.27401305200453,1.47006850984102,1.67067323943916,1.6539969057414,2.01198306014778,1.53271210546686,1.28082496185711,5.1769143821479,1.36335461551736,1.30668620604273,1.897605493607,1.23409703147742,0,1.41442824969187,6.02557555373515,5.90790026372025,5.47325679009578,5.55534297158914,5.37487700384414,4.60541768125406,5.95291937971347,5.3798873797259,4.7993884833611,4.87004156162669
"Od_9-12",7.09207732384877,6.28837971058275,5.4903306376648,5.05328089290992,5.10166112667004,5.35368363680008,7.54308040869402,5.45587494959741,5.34399164349277,4.20551872894283,4.52052664732609,4.02188288430432,4.75094331112255,1.94348652679541,1.8152732057609,2.10721619893371,1.98732505012361,1.75472388933659,1.69077033861715,5.56688763813131,1.83079899989481,1.73973326128845,2.53275702039632,1.58594761601308,1.41442824969187,0,6.26111436448793,6.1547767474001,5.68902605954749,5.93528519971073,5.95607185020483,5.20196924557318,6.57468207228173,6.01419137861457,5.40124165855776,4.99934802165078
"Plb_1",6.40185673454945,7.43522660987508,5.79184311795644,6.17188224453942,6.99816460104982,6.83097514432226,8.22564838750692,3.57395732129664,2.3728069536131,2.81196974303969,5.69548169434082,5.90412464870454,4.5016881626961,5.95595676712732,6.31673336930913,6.26082916283377,6.97181108882927,6.37384911928005,5.87436227290644,3.05408931752907,5.83892409170095,6.35354817391933,6.50186288648527,6.21318057338879,6.02557555373515,6.26111436448793,0,1.50023101860077,2.17961848967017,2.08254590767516,7.01288559215689,6.03764863858698,7.53184903472428,6.93375596452425,6.11459462699739,2.79635895821794
"Plb_9&10",6.33219804332619,7.37553093282584,5.69478118981733,6.07455571637237,6.83754162975499,6.7722230680136,8.11693097434426,3.5546641723152,2.6480583584315,2.70547393854277,5.70394621343593,6.02497597522477,4.55428468609896,5.87533063118486,6.29855556837505,6.25083781769522,6.94458177804251,6.33296327133036,5.77407262059439,2.43326601703472,5.67999106842641,6.24699961740321,6.42975397398052,6.12352427570718,5.90790026372025,6.1547767474001,1.50023101860077,0,1.98564938852872,1.71877993522184,6.86258990696201,5.79701837195777,7.26927212333829,6.68807235803722,5.87070711210926,2.39677657879767
"Plut_Alc",6.81627392151644,7.61251209014246,5.91269765149928,6.08200228789417,6.83796014293547,6.82940622866925,8.5266367984143,4.02246996786083,2.00890254451117,2.3175681376411,5.64896874358015,6.01984809844467,4.75035084131842,5.49935487418671,5.79677740907642,5.90829781040056,6.34004970903371,5.85192492897181,5.35249351630581,2.97730569528356,5.29707164237556,5.91259126307495,6.15462200426726,5.72773184506073,5.47325679009578,5.68902605954749,2.17961848967017,1.98564938852872,0,2.31208939288214,7.08610036236199,5.92935106492423,7.54677509924261,6.9203433824471,6.0110549584994,1.6270255812346
"Plut_Lyc",5.63140224258804,6.4462466617801,4.98454931164203,5.25558448436972,6.0194158147476,5.94325317227213,7.22674317981091,2.7403603767534,3.23116961801961,2.52927455169513,4.94620466724964,5.41820454243947,4.05736141620536,5.47379116282665,6.01951762431881,5.8467650342413,6.6940440633839,6.02611375376427,5.46464243525081,2.05458922678141,5.29546566322357,5.85749007626431,5.89888766646347,5.78110789110493,5.55534297158914,5.93528519971073,2.08254590767516,1.71877993522184,2.31208939288214,0,6.00321523042831,4.98898666975803,6.43276251149863,5.8218974326051,5.0962955092062,2.89836457528822
"Soph_Aj",4.99829213576808,2.49053497266376,4.17677458160176,2.93089394150541,2.32383773508751,2.58234063710387,3.4235975315972,4.48343309305583,7.38924466947294,5.72671938370685,3.77071888056452,4.76056958723606,5.27037968202462,5.15677228609321,5.89338146995234,5.38019661206773,6.31699834600048,5.7732947785071,5.48862339970126,5.77825498285739,4.92326123015829,5.25418806404012,4.67046627981864,5.48447849263136,5.37487700384414,5.95607185020483,7.01288559215689,6.86258990696201,7.08610036236199,6.00321523042831,0,1.98117569478546,1.98493229330412,1.815338404822,2.0991047686464,7.20099072209338
"Soph_Ant",4.93261133921909,2.87651052474383,3.78557713494339,2.36573489598634,2.10065346284746,2.36838606907032,3.98862378926275,3.72510468714524,6.27087746499129,4.62612857665278,3.17629917304067,4.37265867589001,4.52322024045546,4.47042896764111,5.22011001223161,4.82449780467753,5.65343565059992,5.11112305929893,4.69341732150333,4.77787576359467,4.2015471273548,4.66206490832314,4.24234769319281,4.82556588192951,4.60541768125406,5.20196924557318,6.03764863858698,5.79701837195777,5.92935106492423,4.98898666975803,1.98117569478546,0,2.25253487794536,1.80621489434184,1.40005577476059,5.99293497532132
"Soph_El",5.45929478883965,2.89597843537165,4.74951979622412,3.45131035393213,2.75896815096231,3.22443949277952,3.56708719892883,4.97448455048008,7.94576420968603,6.26313063412503,4.33518690040722,5.60358923952954,5.92437112829183,5.80828493366533,6.59980081607716,6.0955184642423,7.00366198989358,6.46547169889737,6.09051548110531,6.07498895564257,5.56530055241638,5.84432752910028,5.3041342605525,6.11908753444798,5.95291937971347,6.57468207228173,7.53184903472428,7.26927212333829,7.54677509924261,6.43276251149863,1.98493229330412,2.25253487794536,0,1.25634626005836,2.02180236419926,7.61483118844647
"Soph_OT",5.09666321502741,2.72542464858672,4.27622232762387,3.00515610895819,2.39684729451635,2.87550780354009,3.56200056336369,4.36543194048612,7.30768199911147,5.62494448832207,3.88679421995136,5.0657605492963,5.38711068599865,5.21820040497262,6.03026288566124,5.52176355734819,6.46207085423255,5.91073280480495,5.50401889293563,5.4843424029256,4.99101292525258,5.28470668224184,4.78042205783931,5.5573869359788,5.3798873797259,6.01419137861457,6.93375596452425,6.68807235803722,6.9203433824471,5.8218974326051,1.815338404822,1.80621489434184,1.25634626005836,0,1.75205441959405,6.98978407936247
"Soph_Trach",5.07411540965632,3.09820413717397,4.00459660471025,2.6509737802947,2.3931431026436,2.77702063462524,4.15827974781889,3.81508225320959,6.43329756648942,4.73707024476896,3.56919729221735,4.72417992294005,4.7736939535729,4.66829988006846,5.45486547390123,5.05896711533593,5.88523136299405,5.32828993955757,4.91612798504537,4.80640000544781,4.36651469752469,4.85681917227237,4.43952223299859,5.02991836005303,4.7993884833611,5.40124165855776,6.11459462699739,5.87070711210926,6.0110549584994,5.0962955092062,2.0991047686464,1.40005577476059,2.02180236419926,1.75205441959405,0,6.07439983295998
"Thuc_1",7.05988505184689,7.72643517394014,5.99555606282489,6.12011602108428,6.81724805990489,6.85562922348304,8.70916063821197,4.3039193096308,2.00020309222082,2.06386078873,5.62507878504776,5.86095761717175,4.70837924514939,4.96607805054061,5.18900149540837,5.4071651932317,5.69894689025395,5.24199858971137,4.78064965915925,3.10142163555213,4.77431620071997,5.31572340603868,5.69291614760955,5.1254568017963,4.87004156162669,4.99934802165078,2.79635895821794,2.39677657879767,1.6270255812346,2.89836457528822,7.20099072209338,5.99293497532132,7.61483118844647,6.98978407936247,6.07439983295998,0
