"","Diodorus","Herodotus","Lysias","Plutarch","Polybius","Thucydides","-SUM-"
"Thucydides",0,3,0,3,5,14,11
"-SUM-",4,9,1,8,15,1,38
"Diodorus",15,1,0,0,8,0,9
"Herodotus",2,21,0,0,2,1,5
"Lysias",0,3,16,0,0,1,4
"Plutarch",1,2,0,13,1,2,6
"Polybius",1,1,0,2,21,1,5
"Thucydides",0,5,1,2,2,8,10
"-SUM-",4,12,1,4,13,5,39
"Diodorus",16,2,0,0,1,1,4
"Herodotus",0,18,0,2,1,4,7
"Lysias",0,3,9,2,1,1,7
"Plutarch",0,4,0,7,7,4,15
"Polybius",0,1,0,2,22,1,4
"Thucydides",1,3,0,2,1,17,7
"-SUM-",1,13,0,8,11,11,44
"Diodorus",18,0,0,1,5,1,7
"Herodotus",2,19,2,0,2,1,7
"Lysias",0,2,13,0,2,3,7
"Plutarch",1,1,0,11,3,4,9
"Polybius",1,1,0,1,19,1,4
"Thucydides",0,1,0,5,1,12,7
"-SUM-",4,5,2,7,13,10,41
"Diodorus",18,0,0,0,6,0,6
"Herodotus",2,11,2,1,1,0,6
"Lysias",0,2,14,0,1,1,4
"Plutarch",1,1,0,13,6,1,9
"Polybius",1,1,0,2,18,2,6
"Thucydides",0,6,1,5,2,14,14
"-SUM-",4,10,3,8,16,4,45
"Diodorus",11,1,0,0,4,0,5
"Herodotus",1,17,1,0,1,1,4
"Lysias",0,2,18,1,0,2,5
"Plutarch",0,4,1,11,7,3,15
"Polybius",0,1,0,1,25,1,3
"Thucydides",1,1,0,3,2,12,7
"-SUM-",2,9,2,5,14,7,39
"Diodorus",20,1,0,0,3,0,4
"Herodotus",1,20,0,0,0,0,1
"Lysias",0,0,14,2,1,1,4
"Plutarch",0,4,1,6,5,4,14
"Polybius",0,0,0,1,24,1,2
"Thucydides",1,4,0,2,4,13,11
"-SUM-",2,9,1,5,13,6,36
"Diodorus",15,5,0,1,5,0,11
"Herodotus",0,16,0,1,2,1,4
"Lysias",0,6,15,0,4,1,11
"Plutarch",0,1,0,13,3,1,5
"Polybius",1,0,0,2,21,0,3
"Thucydides",0,1,1,1,1,15,4
"-SUM-",1,13,1,5,15,3,38
"Diodorus",20,1,0,0,6,0,7
"Herodotus",0,12,0,2,0,2,4
"Lysias",0,0,15,1,4,0,5
"Plutarch",1,4,1,11,5,0,11
"Polybius",1,1,0,0,18,0,2
"Thucydides",0,5,1,3,3,16,12
"-SUM-",2,11,2,6,18,2,41
"Diodorus",15,1,0,0,5,0,6
"Herodotus",1,21,0,0,1,3,5
"Lysias",0,3,16,0,2,1,6
"Plutarch",0,1,0,14,3,0,4
"Polybius",0,1,0,3,22,0,4
"Thucydides",0,2,0,4,2,12,8
"-SUM-",1,8,0,7,13,4,33
"Diodorus",18,1,0,0,2,1,4
"Herodotus",1,13,1,0,0,2,4
"Lysias",0,3,12,0,2,1,6
"Plutarch",1,2,1,17,2,7,13
"Polybius",0,1,1,1,18,3,6
"Thucydides",0,6,0,0,2,14,8
"-SUM-",2,13,3,1,8,14,41
"Diodorus",20,1,0,0,4,1,6
"Herodotus",2,18,1,1,2,3,9
"Lysias",0,4,16,2,1,1,8
"Plutarch",0,1,0,11,8,2,11
"Polybius",1,1,0,2,16,0,4
"Thucydides",0,1,0,1,0,12,2
"-SUM-",3,8,1,6,15,7,40
"Diodorus",18,1,0,0,7,0,8
"Herodotus",2,19,1,0,1,3,7
"Lysias",0,1,16,0,0,1,2
"Plutarch",1,1,1,11,3,4,10
"Polybius",1,1,0,2,20,1,5
"Thucydides",0,6,0,2,0,9,8
"-SUM-",4,10,2,4,11,9,40
"Diodorus",19,0,0,0,2,0,2
"Herodotus",0,14,0,2,3,1,6
"Lysias",0,1,21,1,0,0,2
"Plutarch",1,0,0,11,3,2,6
"Polybius",0,1,1,1,26,2,5
"Thucydides",0,4,0,1,2,14,7
"-SUM-",1,6,1,5,10,5,28
"Diodorus",18,0,0,1,7,1,9
"Herodotus",1,13,0,1,1,3,6
"Lysias",0,3,15,0,1,0,4
"Plutarch",1,1,0,13,1,2,5
"Polybius",1,0,0,0,19,1,2
"Thucydides",0,4,0,2,2,21,8
"-SUM-",3,8,0,4,12,7,34
"Diodorus",10,1,0,1,2,1,5
"Herodotus",1,13,0,1,1,2,5
"Lysias",0,3,16,0,1,2,6
"Plutarch",0,2,1,15,3,1,7
"Polybius",3,0,0,3,28,0,6
"Thucydides",0,1,1,4,5,11,11
"-SUM-",4,7,2,9,12,6,40
"Diodorus",16,0,0,0,4,2,6
"Herodotus",1,18,1,2,0,2,6
"Lysias",1,3,20,1,1,1,7
"Plutarch",0,3,0,9,8,1,12
"Polybius",0,0,0,1,12,0,1
"Thucydides",1,2,0,6,5,12,14
"-SUM-",3,8,1,10,18,6,46
"Diodorus",16,1,0,0,2,1,4
"Herodotus",1,16,0,0,1,4,6
"Lysias",0,3,19,1,1,0,5
"Plutarch",0,2,0,8,4,1,7
"Polybius",0,0,2,1,24,2,5
"Thucydides",1,3,0,2,3,14,9
"-SUM-",2,9,2,4,11,8,36
"Diodorus",16,3,0,0,4,1,8
"Herodotus",3,12,1,0,1,1,6
"Lysias",0,6,19,2,0,1,9
"Plutarch",0,3,1,16,4,1,9
"Polybius",1,0,0,1,10,0,2
"Thucydides",0,5,0,0,3,18,8
"-SUM-",4,17,2,3,12,4,42
"Diodorus",13,2,0,0,4,1,7
"Herodotus",1,16,0,0,1,2,4
"Lysias",1,4,21,3,0,1,9
"Plutarch",0,2,0,18,3,0,5
"Polybius",0,0,0,1,20,0,1
"Thucydides",0,2,0,3,0,14,5
"-SUM-",2,10,0,7,8,4,31
"Diodorus",13,3,0,0,6,0,9
"Herodotus",0,22,1,2,2,0,5
"Lysias",0,2,21,1,0,2,5
"Plutarch",0,1,0,5,7,2,10
"Polybius",0,0,0,0,19,0,0
"Thucydides",1,3,0,2,3,15,9
"-SUM-",1,9,1,5,18,4,38
"Diodorus",13,1,0,0,1,0,2
"Herodotus",1,19,0,0,1,5,7
"Lysias",1,3,13,1,2,2,9
"Plutarch",1,2,0,14,0,6,9
"Polybius",0,1,0,0,21,0,1
"Thucydides",1,2,1,3,1,17,8
"-SUM-",4,9,1,4,5,13,36
"Diodorus",23,2,0,1,2,0,5
"Herodotus",2,17,1,0,1,1,5
"Lysias",0,1,12,0,2,1,4
"Plutarch",0,2,1,15,1,3,7
