"","file","sent","index","words","dependency","relation","morph","depPerWord","relPerWord","morphPerWord","DepDist","topSentNum"
"238","Polybius 21.21-30",96,238,17,37,39,33,2.176470588,2.294117647,1.941176471,3.75,96
"239","Polybius 21.21-30",97,239,39,187,128,110,4.794871795,3.282051282,2.820512821,5.25,97
"240","Polybius 21.21-30",98,240,19,47,53,30,2.473684211,2.789473684,1.578947368,3.8333,98
"241","Polybius 21.21-30",99,241,35,155,107,60,4.428571429,3.057142857,1.714285714,2.8235,99
"242","Polybius 21.21-30",100,242,23,87,82,49,3.782608696,3.565217391,2.130434783,3.9565,100
"243","Polybius 21.21-30",101,243,28,61,105,49,2.178571429,3.75,1.75,4.4444,101
"244","Polybius 21.21-30",102,244,39,189,117,61,4.846153846,3,1.564102564,5.4103,102
"245","Polybius 21.21-30",103,245,31,99,88,54,3.193548387,2.838709677,1.741935484,5.0625,103
"246","Polybius 21.21-30",104,246,12,18,82,18,1.5,6.833333333,1.5,3,104
"247","Polybius 21.21-30",105,247,29,117,87,59,4.034482759,3,2.034482759,3.1786,105
"248","Polybius 21.21-30",106,248,12,21,44,20,1.75,3.666666667,1.666666667,1.6364,106
"249","Polybius 21.21-30",107,249,25,57,54,63,2.28,2.16,2.52,3.375,107
"250","Polybius 21.21-30",108,250,15,24,40,36,1.6,2.666666667,2.4,2.5714,108
"251","Polybius 21.21-30",109,251,15,23,42,26,1.533333333,2.8,1.733333333,2.4286,109
"252","Polybius 21.21-30",110,252,33,60,91,56,1.818181818,2.757575758,1.696969697,3.125,110
"253","Polybius 21.21-30",111,253,35,77,80,78,2.2,2.285714286,2.228571429,4.0882,111
"254","Polybius 21.21-30",112,254,33,135,75,72,4.090909091,2.272727273,2.181818182,3.8125,112
"255","Polybius 21.21-30",113,255,31,71,88,54,2.290322581,2.838709677,1.741935484,4.8,113
"256","Polybius 21.21-30",114,256,9,14,26,16,1.555555556,2.888888889,1.777777778,2,114
"257","Polybius 21.21-30",115,257,56,204,139,177,3.642857143,2.482142857,3.160714286,3.7636,115
"258","Polybius 21.21-30",116,258,20,46,57,75,2.3,2.85,3.75,3.25,116
"259","Polybius 21.21-30",117,259,30,74,65,142,2.466666667,2.166666667,4.733333333,3.8,117
"260","Polybius 21.21-30",118,260,40,109,107,133,2.725,2.675,3.325,3.641,118
"261","Polybius 21.21-30",119,261,30,99,84,59,3.3,2.8,1.966666667,3.8276,119
"262","Polybius 21.21-30",120,262,19,72,75,28,3.789473684,3.947368421,1.473684211,2.3,120
"263","Polybius 21.21-30",121,263,17,32,38,27,1.882352941,2.235294118,1.588235294,2.75,121
"264","Polybius 21.21-30",122,264,22,39,51,45,1.772727273,2.318181818,2.045454545,3.2381,122
"265","Polybius 21.21-30",123,265,25,44,51,48,1.76,2.04,1.92,2.625,123
"266","Polybius 21.21-30",124,266,19,47,45,33,2.473684211,2.368421053,1.736842105,2.6667,124
"267","Polybius 21.21-30",125,267,14,41,42,26,2.928571429,3,1.857142857,3.2308,125
"268","Polybius 21.21-30",126,268,15,20,45,40,1.333333333,3,2.666666667,2.4286,126
"269","Polybius 21.21-30",127,269,10,18,34,22,1.8,3.4,2.2,1.5556,127
"270","Polybius 21.21-30",128,270,26,78,85,73,3,3.269230769,2.807692308,2.88,128
"271","Polybius 21.21-30",129,271,19,32,56,32,1.684210526,2.947368421,1.684210526,2.7778,129
"272","Polybius 21.21-30",130,272,42,89,107,56,2.119047619,2.547619048,1.333333333,3.9512,130
"273","Polybius 21.21-30",131,273,15,28,42,19,1.866666667,2.8,1.266666667,2.5,131
"274","Polybius 21.21-30",132,274,21,57,61,32,2.714285714,2.904761905,1.523809524,3.75,132
"275","Polybius 21.21-30",133,275,11,23,35,22,2.090909091,3.181818182,2,2.9,133
"276","Polybius 21.21-30",134,276,33,60,90,69,1.818181818,2.727272727,2.090909091,3.0625,134
"277","Polybius 21.21-30",135,277,10,14,25,12,1.4,2.5,1.2,2.5556,135
"278","Polybius 21.21-30",136,278,26,73,65,39,2.807692308,2.5,1.5,3.8846,136
"279","Polybius 21.21-30",137,279,10,16,27,20,1.6,2.7,2,2.6667,137
"280","Polybius 21.21-30",138,280,27,104,71,58,3.851851852,2.62962963,2.148148148,3.5172,138
"281","Polybius 21.21-30",139,281,19,41,45,29,2.157894737,2.368421053,1.526315789,4.2778,139
"282","Polybius 21.21-30",140,282,26,98,64,34,3.769230769,2.461538462,1.307692308,3.0385,140
"283","Polybius 21.21-30",141,283,8,29,21,25,3.625,2.625,3.125,2.4286,141
"284","Polybius 21.21-30",142,284,9,13,24,14,1.444444444,2.666666667,1.555555556,1.875,142
